Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4491.033	4415.09	4519.26	U(4.520,1e-300)
t_n248_LUCA	4180.639	4026.54	4311.36	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3449.865	3193.91	3695.85	0
t_n250	3363.056	3107.47	3610.24	0
t_n251	2512.256	1703.2	3111.52	0
t_n252	2255.601	1467.84	2873.26	0
t_n253	3175.067	2922.93	3423.35	0
t_n254	2934.099	2689.54	3179.56	0
t_n255	2737.993	2477.62	2997.18	0
t_n256	2651.727	2390.09	2911.87	0
t_n257	1915.069	1469.45	2330.49	0
t_n258	568.042	386.44	808.66	0
t_n259	295.087	174.13	462.65	0
t_n260	2412.517	2138.12	2686.78	0
t_n261	1916.575	1594.44	2235.75	0
t_n262	1672.452	1323.88	2018.17	0
t_n263	1250.131	893.53	1626.37	0
t_n264	939.123	582.96	1336.78	0
t_n265	1973.346	1626.83	2304.57	0
t_n266	986.192	647.65	1379.67	0
t_n267	2665.318	2418.87	2915.97	0
t_n268_TG-EUKARYA-ARCH	2504.374	2256.1	2758.11	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1699.09	1535.69	1861.16	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1522.038	1352.83	1694.52	0
t_n271	1295.877	1118.42	1478.64	0
t_n272_FUNGI	913.297	737.25	1100.93	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	683.5	510.16	874.75	0
t_n274_METAZOA	605.04	593.53	610.89	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	566.837	561.28	579.27	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	431.849	347.77	499.72	0
t_n277	553.496	387.41	754.26	0
t_n278	1630.735	1468.07	1795.27	0
t_n279	1555.847	1400.01	1716.89	0
t_n280_ARCHAEPLASTIDA	1357.072	1221.6	1498.27	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1233.114	1080.15	1387.95	0
t_n282	996.322	866.6	1135.03	0
t_n283_EMBRYOPHYTA	475.019	433.47	515.22	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	239.882	212.33	256.18	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	859.05	724.2	1002.06	0
t_n286	241.074	168.05	330.83	0
t_n287	1050.29	903.1	1202.52	0
t_n288	851.751	631.81	1050.06	0
t_n289	1316.877	1134.01	1500.72	0
t_n290	1217.887	1006.01	1423.26	0
t_n291	683.094	504.38	871.68	0
t_n292_CG-FORAMINIFERA	753.839	569.35	961.83	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	552.479	371.17	777.59	0
t_n294	2147.608	1814.02	2457.6	0
t_n295	1851.805	1462.83	2210.31	0
t_n296	2490.255	2183.37	2776.86	0
t_n297	2279.755	1944.87	2586.85	0
t_n298	761.066	491.42	1118.55	0
t_n299	282.648	153.83	468.2	0
t_n300	3084.991	2662.55	3428.67	0
t_n301	2876.992	2374.7	3281.22	0
t_n302	2123.817	1417.08	2720.85	0
t_n303	2202.301	1552.91	2777.37	0
t_n304	3362.518	3220.7	3534.2	0
t_n305	3309.894	3175.65	3476.51	0
t_n306	3065.903	2734.41	3309.36	0
t_n307	3141.932	3041.26	3284.25	0
t_n308_TG-OXYPHOTOBACTERIA	2985.231	2946.07	3087.4	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n309_CG-OXYPHOTOBACTERIA	2128.849	1956.9	2391.43	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n310	1796.321	1593.28	2030.72	0
t_n311	1691.469	1495.66	1917.36	0
t_n312_ARCHAEPLASTIDA-DUP1	1357.072	1221.6	1498.27	[#6]
t_n313	996.322	866.6	1135.03	0
t_n314_EMBRYOPHYTA-DUP1	475.019	433.47	515.22	[#5]
t_n315_EUDICOT-MONOCOT-DUP1	239.882	212.33	256.18	[#4]
t_n316	859.05	724.2	1002.06	0
t_n317	241.074	168.05	330.83	0
t_n318	1050.29	903.1	1202.52	0
t_n319	882.248	657.24	1090.71	0
t_n320	683.094	504.38	871.68	0
t_n321	849.31	542.93	1082.96	0
t_n322	984.547	707.41	1318.36	0
t_n323	795.22	546.54	1106.56	0
t_n324	452.586	269.44	700.34	0
t_n325	825.915	498.21	1185.4	0
t_n326	459.407	259.37	755.15	0
t_n327	3318.211	3158.24	3498.09	0
t_n328	2280.839	1982.6	2618.75	0
t_n329_TG-EUKARYA-MITO	1851.98	1634.36	2105.92	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n330	1522.038	1352.83	1694.52	0
t_n331	1295.877	1118.42	1478.64	0
t_n332_FUNGI-DUP1	913.297	737.25	1100.93	[#2]
t_n333_METAZOA	605.04	593.53	610.89	[#13]
t_n334_EUMETAZOA-DUP1	566.837	561.28	579.27	[#3]
t_n335	431.849	347.77	499.72	0
t_n336	553.496	387.41	754.26	0
t_n337	1538.593	1359.23	1740.3	0
t_n338_ARCHAEPLASTIDA-DUP2	1357.072	1221.6	1498.27	[#6]
t_n339	996.322	866.6	1135.03	0
t_n340_EMBRYOPHYTA-DUP2	475.019	433.47	515.22	[#5]
t_n341_EUDICOT-MONOCOT-DUP2	239.882	212.33	256.18	[#4]
t_n342	859.05	724.2	1002.06	0
t_n343	241.074	168.05	330.83	0
t_n344	1050.29	903.1	1202.52	0
t_n345	965.761	558.16	1352.34	0
t_n346	1896.398	1494.07	2300.22	0
t_n347	1457.193	1033.28	1884.16	0
t_n348	1320.432	969.81	1702.9	0
t_n349	1092.362	740.25	1483.46	0
t_n350	3220.178	3020.78	3417.1	0
t_n351	3020.244	2744	3265.54	0
t_n352	2762.459	2472.64	3035.47	0
t_n353	2557.253	2261.7	2843.45	0
t_n354	2219.995	1865.62	2544.41	0
t_n355	1470.094	1012.2	1930.59	0
t_n356	2283.928	1958.18	2599.72	0
t_n357	2169.738	1838.44	2493.85	0
t_n358	1483.937	872.45	2025.54	0
t_n359	1826.56	1473.22	2179.52	0
t_n360	1501.843	1021.58	1936.25	0
t_n361	1593.789	1229.3	1965.35	0
t_n362	1281.128	916.04	1667.23	0
t_n363	978.006	616.69	1381.09	0
t_n364	1784.772	1224.63	2251.91	0
t_n365	2495.252	2041.27	2854.77	0
t_n366	2128.106	1623.64	2567.39	0
t_n367	1686.763	1197.29	2130.34	0
t_n368_LUCA-DUP	4180.639	4026.54	4311.36	[#1]
t_n369	3362.518	3220.7	3534.2	0
t_n370	3318.211	3158.24	3498.09	0
t_n371	3220.178	3020.78	3417.1	0
t_n372	3014.581	2709.34	3270.31	0
t_n373	2848.421	2519.34	3136.45	0
t_n374	2616.297	2268.04	2940.43	0
t_n375	2261.658	1805.96	2667.11	0
t_n376	2083.752	1626.73	2501.66	0
t_n377	1761.07	1192.77	2263.02	0
t_n378	1686.763	1197.29	2130.34	0
t_n379	2219.995	1865.62	2544.41	0
t_n380	1470.094	1012.2	1930.59	0
t_n381	2461.743	1955.61	2865.91	0
t_n382	2116.812	1558.22	2596.58	0
t_n383	1703.654	1087.02	2280.12	0
t_n384	2768.55	2356.23	3097.26	0
t_n385	2399.981	1912.77	2813.13	0
t_n386	1747.522	1220.75	2268.35	0
t_n387	1126.405	623.11	1709.82	0
t_n388	2518.925	1781.12	3031.94	0
t_n389	1972.427	1160.02	2666.3	0
t_n390	2280.839	1982.6	2618.75	0
t_n391_TG-EUKARYA-MITO-DUP	1851.98	1634.36	2105.92	[#8]
t_n392	1678.485	1495.95	1881.69	0
t_n393	1522.038	1352.83	1694.52	0
t_n394	1295.877	1118.42	1478.64	0
t_n395_FUNGI-DUP2	913.297	737.25	1100.93	[#2]
t_n396	683.5	510.16	874.75	0
t_n397_METAZOA	605.04	593.53	610.89	[#13]
t_n398_EUMETAZOA-DUP2	566.837	561.28	579.27	[#3]
t_n399	431.849	347.77	499.72	0
t_n400	553.496	387.41	754.26	0
t_n401	1538.593	1359.23	1740.3	0
t_n402_ARCHAEPLASTIDA-DUP3	1357.072	1221.6	1498.27	[#6]
t_n403	996.322	866.6	1135.03	0
t_n404_EMBRYOPHYTA-DUP3	475.019	433.47	515.22	[#5]
t_n405_EUDICOT-MONOCOT-DUP3	239.882	212.33	256.18	[#4]
t_n406	859.05	724.2	1002.06	0
t_n407	241.074	168.05	330.83	0
t_n408	1050.29	903.1	1202.52	0
t_n409	832.122	570.15	1049.75	0
t_n410	683.094	504.38	871.68	0
t_n411	1504.404	1190.12	1816.43	0
t_n412	552.479	371.17	777.59	0
t_n413_CG-FORAMINIFERA-DUP1	753.839	569.35	961.83	[#11]
t_n414	1792.992	1395.31	2204.06	0
t_n415	1457.193	1033.28	1884.16	0
t_n416	1320.432	969.81	1702.9	0
t_n417	1092.362	740.25	1483.46	0
t_n418	3309.894	3175.65	3476.51	0
t_n419	3065.903	2734.41	3309.36	0
t_n420	2134.301	1312.75	2781.57	0
t_n421	3141.932	3041.26	3284.25	0
t_n422_TG-OXYPHOTOBACTERIA-DUP	2985.231	2946.07	3087.4	[#10]
t_n423_CG-OXYPHOTOBACTERIA-DUP	2128.849	1956.9	2391.43	[#9]
t_n424	1796.321	1593.28	2030.72	0
t_n425	1691.469	1495.66	1917.36	0
t_n426_ARCHAEPLASTIDA-DUP4	1357.072	1221.6	1498.27	[#6]
t_n427	996.322	866.6	1135.03	0
t_n428	859.05	724.2	1002.06	0
t_n429	241.074	168.05	330.83	0
t_n430_EMBRYOPHYTA-DUP4	475.019	433.47	515.22	[#5]
t_n431	1050.29	903.1	1202.52	0
t_n432	951.918	748.37	1133.79	0
t_n433	709.028	446.86	952.02	0
t_n434	984.547	707.41	1318.36	0
t_n435	795.22	546.54	1106.56	0
t_n436	452.586	269.44	700.34	0
t_n437	459.407	259.37	755.15	0
t_n438	3449.865	3193.91	3695.85	0
t_n439	3363.056	3107.47	3610.24	0
t_n440	2512.256	1703.2	3111.52	0
t_n441	2255.601	1467.84	2873.26	0
t_n442	3175.067	2922.93	3423.35	0
t_n443	2934.099	2689.54	3179.56	0
t_n444	2737.993	2477.62	2997.18	0
t_n445	2651.727	2390.09	2911.87	0
t_n446	2412.517	2138.12	2686.78	0
t_n447	1916.575	1594.44	2235.75	0
t_n448	1642.323	1216.54	2026.21	0
t_n449	1422.34	972.99	1836.62	0
t_n450	1973.346	1626.83	2304.57	0
t_n451	986.192	647.65	1379.67	0
t_n452	1915.069	1469.45	2330.49	0
t_n453	568.042	386.44	808.66	0
t_n454	295.087	174.13	462.65	0
t_n455	2665.318	2418.87	2915.97	0
t_n456_TG-EUKARYA-ARCH-DUP	2504.374	2256.1	2758.11	[#7]
t_n457_LECA-DUP	1699.09	1535.69	1861.16	[#12]
t_n458	1522.038	1352.83	1694.52	0
t_n459	1295.877	1118.42	1478.64	0
