Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4471.663	4347.99	4518.7	U(4.520,1e-300)
t_n248_LUCA	4342.815	3915.24	4499.92	B(3.3470,4.5200,1E-300,1E-300)
t_n249	3239.845	2935.86	3633.29	0
t_n250	3144.983	2835.52	3533.43	0
t_n251	2052.006	1209.71	2964.44	0
t_n252	1651.078	902.14	2497.98	0
t_n253	2896.278	2583.22	3252.8	0
t_n254	2743.742	2439.73	3082.94	0
t_n255	2549.695	2231.21	2935.42	0
t_n256	2417.035	2107.24	2793.63	0
t_n257	1683.931	1185.51	2213.03	0
t_n258	540.631	330.71	841.35	0
t_n259	306.614	157.45	570.21	0
t_n260	2239.275	1919.61	2610.62	0
t_n261	1775.34	1436.52	2169.83	0
t_n262	1547.75	1189.84	1921.86	0
t_n263	1154.377	803.42	1542.4	0
t_n264	840.402	487.82	1232.27	0
t_n265	1744.106	1323.34	2203.98	0
t_n266	796.79	454.3	1276.21	0
t_n267	2484.286	2200.17	2804.56	0
t_n268_TG-EUKARYA-ARCH	2370.915	2090.29	2676.07	B(1.6191,3.4480,1E-300,1E-300)
t_n269_LECA	1779.163	1590.12	1902.97	B(1.0856,1.8796,0.0250,0.0250)
t_n270	1570.69	1266.61	1787.87	0
t_n271	1385.557	1056.1	1665.55	0
t_n272_FUNGI	880.236	615.66	1201.45	B(0.3921,1.8910,1E-300,0.0250)
t_n273	639.016	440.63	989.72	0
t_n274_METAZOA	596.794	577.3	609.5	B(0.5740,0.6090,1E-300,0.0250)
t_n275_EUMETAZOA	573.924	561.65	590.04	B(0.5611,0.5908,1E-300,0.0250)
t_n276	453.177	227.7	564.25	0
t_n277	581.626	248.95	995.14	0
t_n278	1700.714	1504.41	1850.16	0
t_n279	1630.877	1428.93	1793.62	0
t_n280_ARCHAEPLASTIDA	1452.7	1205.52	1658.64	B(1.0300,1.8796,1E-300,1E-300)
t_n281	1265.159	981.24	1520.12	0
t_n282	1104.2	820.83	1404.12	0
t_n283_EMBRYOPHYTA	464.593	431.83	512.81	B(0.4305,0.5155,1E-300,0.0250)
t_n284_EUDICOT-MONOCOT	227.291	171.97	252.75	B(0.1250,0.2472,1E-300,0.0250)
t_n285	835.569	492.75	1175.83	0
t_n286	148.521	28.75	258.23	0
t_n287	994.701	604.85	1323.33	0
t_n288	757.56	452.58	1128.59	0
t_n289	1399.722	1134.38	1630.95	0
t_n290	1228.158	894.22	1527.65	0
t_n291	688.836	442.19	1071.38	0
t_n292_CG-FORAMINIFERA	804.779	551.8	1092.89	B(0.5225,1.8910,1E-300,1E-300)
t_n293	860.862	469.98	1293.05	0
t_n294	2127.418	1681.23	2496.19	0
t_n295	1654.732	1146.1	2128.18	0
t_n296	2295.577	1789.21	2669.73	0
t_n297	2063.23	1546.97	2486.86	0
t_n298	623.19	426.76	1081.4	0
t_n299	197.809	61.88	438.33	0
t_n300	2792.058	2057.08	3368.76	0
t_n301	2541.43	1771.77	3155.79	0
t_n302	1703.106	921.37	2516.87	0
t_n303	1869.251	1028.39	2787.85	0
t_n304	3495.194	3257.2	3743.03	0
t_n305	3418.857	3191.9	3662.3	0
t_n306	2659.624	1516.89	3304.15	0
t_n307	3231.332	3043.42	3451.86	0
t_n308_TG-OXYPHOTOBACTERIA	3070.662	2948.4	3249.83	B(2.945,4.5200,1E-300,1E-300)
t_n309_CG-OXYPHOTOBACTERIA	2190.746	1951.93	2597.39	B(2.0136,3.4480,0.0250,0.0250)
t_n310	1746.911	1431.59	2160.34	0
t_n311	1537.601	1252.2	1851.89	0
t_n312_ARCHAEPLASTIDA	1298.201	1060.73	1613.55	B(1.0300,1.8796,1E-300,1E-300)
t_n313	1077.663	835.05	1388.57	0
t_n314_EMBRYOPHYTA	473.143	432.74	515.2	B(0.4305,0.5155,1E-300,0.0250)
t_n315_EUDICOT-MONOCOT	213.183	142.9	250.36	B(0.1250,0.2472,1E-300,0.0250)
t_n316	932.961	609.01	1245.35	0
t_n317	491.756	215.54	741.55	0
t_n318	1111.127	806.84	1454.58	0
t_n319	892.506	565.99	1276.13	0
t_n320	636.606	433.14	1022.15	0
t_n321	893.237	494.22	1283.84	0
t_n322	1042.866	657.43	1425.69	0
t_n323	800.551	471.98	1168.87	0
t_n324	479.557	210.4	776.09	0
t_n325	860.995	471.74	1277.6	0
t_n326	528.787	205.58	1026.27	0
t_n327	3392.282	3017.81	3686.33	0
t_n328	2329.609	1883.05	2881.37	0
t_n329_TG-EUKARYA-MITO	2014.764	1625.62	2537.73	B(1.0856,4.5200,0.0250,1E-300)
t_n330	1805.392	1413.6	2347	0
t_n331	1301.723	935.73	1745.08	0
t_n332_FUNGI	957.864	597.86	1406.38	B(0.3921,1.8910,1E-300,0.0250)
t_n333_METAZOA	601.403	583.39	610.19	B(0.5740,0.6090,1E-300,0.0250)
t_n334_EUMETAZOA	570.233	561.39	587.25	B(0.5611,0.5908,1E-300,0.0250)
t_n335	464.131	232.54	569.9	0
t_n336	741.115	442	1261.77	0
t_n337	1706.978	1325.58	2138.33	0
t_n338_ARCHAEPLASTIDA	1504.231	1144.74	1817.05	B(1.0300,1.8796,1E-300,1E-300)
t_n339	1112.559	782.5	1494.92	0
t_n340_EMBRYOPHYTA	473.856	432.87	515.3	B(0.4305,0.5155,1E-300,0.0250)
t_n341_EUDICOT-MONOCOT	201.097	133.2	248.69	B(0.1250,0.2472,1E-300,0.0250)
t_n342	953.367	572.51	1354.9	0
t_n343	350.106	159.13	605.37	0
t_n344	851.844	449.76	1384.3	0
t_n345	1070.416	567.1	1609.89	0
t_n346	1893.889	1421	2415.2	0
t_n347	1428.953	853.89	2017.52	0
t_n348	1333.286	844.02	1831.96	0
t_n349	963.793	494.03	1521.65	0
t_n350	3096.931	2601.3	3508.04	0
t_n351	2847.29	2368.31	3246.41	0
t_n352	2512.389	2114.91	2929.05	0
t_n353	2295.391	1905.97	2686.48	0
t_n354	1893.021	1423.76	2370.83	0
t_n355	1201.724	593.25	1782.56	0
t_n356	2030.32	1657.07	2410.6	0
t_n357	1929.079	1561.89	2308.58	0
t_n358	1334.175	793.85	1818.93	0
t_n359	1625.707	1266.59	1976.12	0
t_n360	1344.589	890.82	1744.55	0
t_n361	1421.354	1054.12	1765.11	0
t_n362	1131.345	787.72	1503.61	0
t_n363	831.503	487.74	1207.34	0
t_n364	1541.577	1012.13	2019.34	0
t_n365	2203.609	1635.25	2688.29	0
t_n366	1821.947	1251.45	2374.08	0
t_n367	1406.465	833.26	1996.7	0
t_n368_LUCA	3828.888	3540.3	4340.23	B(3.3470,4.5200,1E-300,1E-300)
t_n369	3194.198	3065.79	3398.87	0
t_n370	3065.649	2826.25	3295.54	0
t_n371	2906.261	2521.32	3163.3	0
t_n372	2631.289	2240.32	2989.27	0
t_n373	2468.115	2088.1	2843.88	0
t_n374	2260.887	1840.83	2661.7	0
t_n375	1868.531	1438.85	2348.66	0
t_n376	1708.875	1265.95	2195.69	0
t_n377	1415.022	912.85	1905.33	0
t_n378	1327.02	815.21	1827.89	0
t_n379	1902.409	1450.34	2374.81	0
t_n380	1237.971	776.74	1750.51	0
t_n381	2082.112	1595.57	2532.7	0
t_n382	1746.885	1259.94	2254.54	0
t_n383	1358.757	852.97	1861.43	0
t_n384	2369.548	1903.88	2785.74	0
t_n385	2018.705	1539.71	2468.94	0
t_n386	1465.436	980.96	1914.3	0
t_n387	938.557	491.94	1448.18	0
t_n388	2148.737	1478.69	2714.25	0
t_n389	1639.107	953.9	2328.55	0
t_n390	2344.621	2026.37	2703	0
t_n391_TG-EUKARYA-MITO	1936.927	1660.29	2246.38	B(1.0856,4.5200,0.0250,1E-300)
t_n392	1713.73	1455.19	1982.33	0
t_n393	1476.547	1165.19	1765.73	0
t_n394	1361.079	1043.96	1674.86	0
t_n395_FUNGI	961.39	707.69	1281.96	B(0.3921,1.8910,1E-300,0.0250)
t_n396	607.082	437.59	944.02	0
t_n397_METAZOA	600.819	582.42	610.07	B(0.5740,0.6090,1E-300,0.0250)
t_n398_EUMETAZOA	571.56	561.49	588.46	B(0.5611,0.5908,1E-300,0.0250)
t_n399	457.842	334.52	513.04	0
t_n400	573.452	314.84	955.1	0
t_n401	1606.658	1326.11	1861.92	0
t_n402_ARCHAEPLASTIDA	1450.659	1156.04	1719.82	B(1.0300,1.8796,1E-300,1E-300)
t_n403	1021.12	730.23	1343.44	0
t_n404_EMBRYOPHYTA	474.238	432.97	515.36	B(0.4305,0.5155,1E-300,0.0250)
t_n405_EUDICOT-MONOCOT	217.631	154.12	250.66	B(0.1250,0.2472,1E-300,0.0250)
t_n406	858.437	563.63	1189.81	0
t_n407	273.84	148.72	565.08	0
t_n408	1047.396	690.32	1398.59	0
t_n409	818.894	470.18	1195.05	0
t_n410	773.645	444.65	1265.79	0
t_n411	1622.247	1299.91	1940.64	0
t_n412	568.104	270.01	955.37	0
t_n413_CG-FORAMINIFERA	1043.656	712.38	1433.15	B(0.5225,1.8910,1E-300,1E-300)
t_n414	1691.509	1196.67	2195.25	0
t_n415	1282.772	733.12	1821.45	0
t_n416	1242.559	784.68	1747.79	0
t_n417	1054.319	575.28	1587.12	0
t_n418	3164.456	3046.66	3360.32	0
t_n419	2996.938	2565.04	3244.92	0
t_n420	1935.248	1139.46	2627.11	0
t_n421	3075.476	2988.94	3243.35	0
t_n422_TG-OXYPHOTOBACTERIA	2983.573	2945.84	3110.14	B(2.945,4.5200,1E-300,1E-300)
t_n423_CG-OXYPHOTOBACTERIA	2252.742	1980.19	2623.68	B(2.0136,3.4480,0.0250,0.0250)
t_n424	1817.235	1517.55	2257.77	0
t_n425	1747.601	1451.11	2188.64	0
t_n426_ARCHAEPLASTIDA	1294.954	1061.21	1631.15	B(1.0300,1.8796,1E-300,1E-300)
t_n427	954.028	674.34	1256.45	0
t_n428	798.99	494.22	1103.03	0
t_n429	385.08	180.36	605.98	0
t_n430_EMBRYOPHYTA	472.516	432.68	515.07	B(0.4305,0.5155,1E-300,0.0250)
t_n431	1023.087	771.04	1353.59	0
t_n432	929.598	620.93	1260.52	0
t_n433	664.915	444.85	1021.38	0
t_n434	1049.453	599.5	1524.93	0
t_n435	855.321	475.35	1300.8	0
t_n436	501.028	214.21	850.45	0
t_n437	564.423	230.43	1040.42	0
t_n438	3147.4	2901.81	3490.46	0
t_n439	3063.769	2809.58	3395.69	0
t_n440	2000.631	1225.59	2767.62	0
t_n441	1718.698	962.72	2501.6	0
t_n442	2933.847	2672.03	3252.29	0
t_n443	2622.089	2364.85	2925.23	0
t_n444	2366.271	2080.81	2671.57	0
t_n445	2293.91	2007.66	2594.98	0
t_n446	1974.135	1631.11	2305.55	0
t_n447	1498.765	1083.76	1860.96	0
t_n448	1266.128	862.18	1677.8	0
t_n449	1079.382	632.38	1515.7	0
t_n450	1581.571	1184.17	1938.73	0
t_n451	889.293	490.54	1320.73	0
t_n452	1652.831	1199.93	2096.19	0
t_n453	688.603	443.98	1075.78	0
t_n454	346.761	175.05	603.49	0
t_n455	2404.625	2147.51	2694.12	0
t_n456_TG-EUKARYA-ARCH	2236.727	1973.31	2521.54	B(1.6191,3.4480,1E-300,1E-300)
t_n457_LECA	1693.045	1477.34	1872.93	B(1.0856,1.8796,0.0250,0.0250)
t_n458	1535.426	1263.7	1761.6	0
t_n459	1250.599	962.95	1533.68	0
t_n460_FUNGI	911.019	644.92	1205.94	B(0.3921,1.8910,1E-300,0.0250)
t_n461	724.707	460.45	1047.59	0
t_n462_METAZOA	599.53	580.35	609.87	B(0.5740,0.6090,1E-300,0.0250)
t_n463_EUMETAZOA	571.426	561.47	588.53	B(0.5611,0.5908,1E-300,0.0250)
t_n464	433.486	217.69	513.54	0
t_n465	573.204	240.96	986.34	0
t_n466	1637.491	1417.06	1828.51	0
t_n467	1561.541	1337.41	1761.79	0
t_n468_ARCHAEPLASTIDA	1354.587	1107.83	1599.86	B(1.0300,1.8796,1E-300,1E-300)
t_n469	1236.192	972.86	1500.78	0
t_n470	906.894	652.23	1170.72	0
t_n471_EMBRYOPHYTA	468.878	432.26	514.28	B(0.4305,0.5155,1E-300,0.0250)
t_n472_EUDICOT-MONOCOT	205.531	137.23	249.04	B(0.1250,0.2472,1E-300,0.0250)
t_n473	734.014	473.58	1025.76	0
t_n474	183.985	44.42	362.03	0
t_n475	989.89	608.54	1313.79	0
t_n476	757.442	453.81	1113.51	0
t_n477	1271.846	1001.43	1534.8	0
t_n478	1161.778	851.48	1464.92	0
t_n479	616.742	434.5	976.17	0
t_n480_CG-FORAMINIFERA	743.927	534.69	1021.21	B(0.5225,1.8910,1E-300,1E-300)
t_n481	438.543	191.02	760.78	0
t_n482	1663.919	1220.04	2056.8	0
t_n483	1511.465	1016.99	1913.72	0
t_n484	2167.389	1719.33	2513.89	0
t_n485	1865.397	1444.42	2290.25	0
t_n486	901.358	530.5	1341.23	0
t_n487	476.288	205.8	790.91	0
t_n488	2476.898	1847.28	3063.53	0
t_n489	2385.761	1762.47	2995.79	0
t_n490	1599.633	917.18	2332.28	0
t_n491	1644.705	1026.03	2330.49	0
