Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4501.65	4453.63	4519.54	U(4.520,1e-300)
t_n248_LUCA	4260.018	4175.22	4332.05	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3240.473	3045.6	3423.11	0
t_n250	3144.707	2950.14	3329.5	0
t_n251	2723.159	2426.33	2983.25	0
t_n252	2570.615	2259.23	2848.11	0
t_n253	3044.306	2844.66	3237.34	0
t_n254	2678.099	2483.04	2871.57	0
t_n255	2553.933	2350.93	2755.39	0
t_n256	2482.284	2279.68	2685.72	0
t_n257	1934.196	1657.74	2196.68	0
t_n258	630.757	429.4	870.16	0
t_n259	296.983	174.58	460.67	0
t_n260	2267.454	2060.12	2475.04	0
t_n261	1837.526	1598.58	2073.81	0
t_n262	1437.062	1139.83	1728.51	0
t_n263	1053.96	787.79	1335.98	0
t_n264	647.569	386.84	950.04	0
t_n265	1922.811	1684.78	2155.15	0
t_n266	1045.995	716.26	1379.8	0
t_n267	2510.591	2318.88	2705.33	0
t_n268_TG-EUKARYA-ARCH	2346.086	2154.67	2543.37	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1321.414	1212.43	1442.23	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1184.822	1076.38	1305.13	0
t_n271	953.73	856.85	1064.27	0
t_n272_FUNGI	647.026	539.47	762.27	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	450.638	349.22	561.84	0
t_n274_METAZOA	601.566	584.55	610.17	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	569.998	561.39	586.52	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	460.44	389.29	520.33	0
t_n277	507.703	363.83	663.71	0
t_n278	1297.636	1189.19	1419	0
t_n279	1261.45	1155.63	1381	0
t_n280_ARCHAEPLASTIDA	1150.099	1053.95	1259.78	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1066.75	946.81	1193.29	0
t_n282	864.142	774.25	963.64	0
t_n283_EMBRYOPHYTA	465.997	432.29	511.85	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	241.727	217.88	257.29	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	771.304	674.55	876.08	0
t_n286	293.046	210.26	388.2	0
t_n287	927.293	823.31	1041.09	0
t_n288	748.36	563.83	912.69	0
t_n289	1062.853	943.9	1191.19	0
t_n290	983.187	837	1129.29	0
