Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4473.031	4349.37	4518.79	U(4.520,1e-300)
t_n248_LUCA	4426.196	4262.96	4508.22	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	4293.608	3936.03	4476.93	0
t_n250	4137.639	3656.68	4422.17	0
t_n251	2755.897	638.46	4183.56	0
t_n252	1379.74	51.81	3511.01	0
t_n253	3969.345	3403.46	4346.84	0
t_n254	3800.871	3176.61	4254.07	0
t_n255	3547.162	2764.91	4127.24	0
t_n256	3293.349	2409.34	3977.41	0
t_n257	2469.389	934.42	3646.2	0
t_n258	1642.474	297.49	3145.72	0
t_n259	820.643	26.08	2385.31	0
t_n260	2963.438	1945.4	3782.65	0
t_n261	2540.141	1403.15	3521.94	0
t_n262	1904.971	642.82	3130.83	0
t_n263	1269.769	219.92	2629.45	0
t_n264	637.082	20.15	1926.94	0
t_n265	1974.922	450.64	3343.04	0
t_n266	985.622	36.41	2621.05	0
t_n267	3386.834	2490.44	4059.79	0
t_n268_TG-EUKARYA-ARCH	2679.221	1891.05	3398.01	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1830.956	1635.31	1942.14	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1556.312	987.6	1870.8	0
t_n271	1230.199	668.86	1748.62	0
t_n272_FUNGI	886.565	423.27	1529.57	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	443.09	19.83	1168.83	0
t_n274_METAZOA	593.942	575.7	609.13	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	574.912	561.76	590.36	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	287.588	14.72	560.03	0
t_n277	779.207	37.7	1649.42	0
t_n278	1736.033	1465.77	1897.28	0
t_n279	1637.276	1322.5	1850.8	0
t_n280_ARCHAEPLASTIDA	1508.039	1150.96	1784.61	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1236.484	703.38	1664.11	0
t_n282	964.4	511.02	1495.93	0
t_n283_EMBRYOPHYTA	473.701	432.7	515.41	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	187.927	128.23	247.23	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	643.04	134.55	1268	0
t_n286	321.679	11.24	938.87	0
t_n287	1331.658	871.77	1695.23	0
t_n288	666.994	32.74	1436.99	0
t_n289	1339.747	789.06	1745.94	0
t_n290	834.108	167.96	1520.23	0
t_n291	327.271	11.05	948.46	0
t_n292_CG-FORAMINIFERA	916.398	538.82	1501.55	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	814.842	38.55	1707.37	0
t_n294	1787.42	406.64	3063.92	0
t_n295	894.228	33.61	2394.93	0
t_n296	2706.655	1285.84	3763.09	0
t_n297	2030.598	638.22	3363.6	0
t_n298	1354.644	220.57	2829.92	0
t_n299	677.493	20.87	2072.19	0
t_n300	3578.344	2042.75	4358.01	0
t_n301	2502.005	785.33	3999.31	0
t_n302	1074.703	41.35	2852.32	0
t_n303	1071.836	44.42	2847.09	0
t_n304	4355.036	4128.29	4485.49	0
t_n305	4080.557	3505.84	4418.49	0
