Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4497.544	4440.08	4519.42	U(4.520,1e-300)
t_n248_LUCA	4377.553	4133.18	4503.21	B(3.3470,4.5200,1E-300,1E-300)
t_n249	3094.473	2909.23	3332.69	0
t_n250	3026.962	2834.37	3254.24	0
t_n251	2620.696	2145.12	2990.84	0
t_n252	2242.755	1705.38	2666.24	0
t_n253	2922.395	2712.9	3134.1	0
t_n254	2851.412	2635.41	3061.04	0
t_n255	2744.691	2505.73	2973.43	0
t_n256	2643.587	2399.09	2875.02	0
t_n257	1966.218	1452.6	2341	0
t_n258	624.992	436.52	970.75	0
t_n259	472.577	206.58	797.63	0
t_n260	2483.156	2225.71	2730.87	0
t_n261	1928.28	1549.08	2258.91	0
t_n262	1493.753	1144.38	1901.37	0
t_n263	1097.353	807.36	1439.22	0
t_n264	706.987	454.09	1069.59	0
t_n265	2126.347	1814.19	2419.27	0
t_n266	906.09	453.79	1413.45	0
t_n267	2685.185	2462.31	2907.84	0
t_n268_TG-EUKARYA-ARCH	2517.746	2283.73	2749.24	B(1.6191,3.4480,1E-300,1E-300)
t_n269_LECA	1429.168	1262.92	1625.19	B(1.0856,1.8796,0.0250,0.0250)
t_n270	1273.454	1078.72	1467.86	0
t_n271	1178.404	982.55	1380.75	0
t_n272_FUNGI	761.86	523.18	1005.69	B(0.3921,1.8910,1E-300,0.0250)
t_n273	653.386	447.26	935.33	0
t_n274_METAZOA	594.893	576.12	609.23	B(0.5740,0.6090,1E-300,0.0250)
t_n275_EUMETAZOA	575.583	561.91	590.49	B(0.5611,0.5908,1E-300,0.0250)
t_n276	520.717	434.22	583.73	0
t_n277	559.007	247.2	875.82	0
t_n278	1408.557	1243.6	1605.15	0
t_n279	1378.029	1215.01	1574.06	0
t_n280_ARCHAEPLASTIDA	1280.024	1117.53	1471.99	B(1.0300,1.8796,1E-300,1E-300)
t_n281	1133.609	936.29	1347.38	0
t_n282	1028.195	849.23	1238.58	0
t_n283_EMBRYOPHYTA	464.966	431.89	513.19	B(0.4305,0.5155,1E-300,0.0250)
t_n284_EUDICOT-MONOCOT	238.102	205.31	255.82	B(0.1250,0.2472,1E-300,0.0250)
t_n285	910.931	676.02	1135.6	0
t_n286	137.809	2.95	450.3	0
t_n287	1104.131	903.13	1318.09	0
t_n288	943.108	521.84	1254.08	0
t_n289	1207.267	1002.39	1412.54	0
t_n290	1129.076	896.67	1351.02	0
t_n291	456.197	197.74	698.46	0
t_n292_CG-FORAMINIFERA	758.382	545.25	977.79	B(0.5225,1.8910,1E-300,1E-300)
t_n293	715.856	469.88	1008.86	0
t_n294	2428.078	2171.14	2675.88	0
t_n295	2005.108	1663.02	2298.01	0
t_n296	2625.486	2365.72	2869.27	0
t_n297	2395.226	2070.81	2689.59	0
t_n298	1267.453	543.5	2133.46	0
t_n299	454.485	148.34	932.68	0
t_n300	2849.364	2528.47	3086.02	0
t_n301	2769.873	2419.93	3029.34	0
t_n302	2416.554	1892.63	2816.75	0
t_n303	1282.519	459.96	2244.37	0
t_n304	3310.249	3102.86	3490.09	0
