Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4315.039	3861.52	4514.01	U(4.520,1e-300)
t_n248_LUCA	4003.71	3470.4	4431.67	B(3.3470,4.5200,1E-300,1E-300)
t_n249	3836.786	3320.62	4323.2	0
t_n250	3708.331	2996.12	4256.76	0
t_n251	1625.818	438.12	3860.55	0
t_n252	666.171	76.71	1839.44	0
t_n253	3542.931	2488.21	4196.27	0
t_n254	3327.826	2138.52	4121.24	0
t_n255	2518.131	1330.97	3922.27	0
t_n256	1941.583	1026.92	3568.73	0
t_n257	1199.041	475.9	2434.73	0
t_n258	739.354	179.75	1660.15	0
t_n259	412.026	40.48	1159.62	0
t_n260	1480.228	586.96	2950.4	0
t_n261	1061.369	484.9	1821.15	0
t_n262	753.586	233.88	1599.76	0
t_n263	528.143	148.36	1258.47	0
t_n264	321.6	26.85	603.93	0
t_n265	868.523	212.11	1751.15	0
t_n266	461.558	52.79	1290.64	0
t_n267	2948.622	1842.7	3952.86	0
t_n268_TG-EUKARYA-ARCH	2367.241	1699.28	3320.42	B(1.6191,3.4480,1E-300,1E-300)
t_n269_LECA	1747.047	1446.74	1907.18	B(1.0856,1.8796,0.0250,0.0250)
t_n270	1519.684	993.58	1850.26	0
t_n271	1261.641	603.91	1765.56	0
t_n272_FUNGI	919.85	445.12	1564.82	B(0.3921,1.8910,1E-300,0.0250)
t_n273	472.403	68.71	1120.88	0
t_n274_METAZOA	593.833	575.6	609.16	B(0.5740,0.6090,1E-300,0.0250)
t_n275_EUMETAZOA	574.946	561.77	590.4	B(0.5611,0.5908,1E-300,0.0250)
t_n276	376.276	52.95	579.29	0
t_n277	698.419	110.22	1644.55	0
t_n278	1638.567	1281.68	1867.84	0
t_n279	1548.24	1172.91	1833.67	0
t_n280_ARCHAEPLASTIDA	1381.935	1053.74	1758.11	B(1.0300,1.8796,1E-300,1E-300)
t_n281	1007.928	562.34	1610.54	0
t_n282	735.521	472.13	1410.06	0
t_n283_EMBRYOPHYTA	473.299	432.61	515.31	B(0.4305,0.5155,1E-300,0.0250)
t_n284_EUDICOT-MONOCOT	187.684	128.14	247.22	B(0.1250,0.2472,1E-300,0.0250)
t_n285	529.238	163.64	1108.25	0
t_n286	328.657	31.22	596.06	0
t_n287	806.493	214.61	1542.05	0
t_n288	441.38	50.94	1141.46	0
t_n289	1300.847	599.78	1755	0
t_n290	774.182	206.89	1548.32	0
