Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4503.624	4460.55	4519.56	U(4.520,1e-300)
t_n248_LUCA	4245.769	4135.12	4339.93	B(3.3470,4.5200,1e-300,1e-300)
t_n249	3494.09	3258.81	3719.82	0
t_n250	3427.711	3191.23	3657.41	0
t_n251	2623.535	1541.4	3384.37	0
t_n252	1873.807	1085.68	2730.93	0
t_n253	3284.707	3046.39	3520.88	0
t_n254	3183.344	2950.82	3418.04	0
t_n255	3005.77	2732.71	3270.85	0
t_n256	2845.301	2562.53	3121.07	0
t_n257	1983.805	1405.54	2515.19	0
t_n258	482.6	264.06	785.88	0
t_n259	274.961	79.03	578.92	0
t_n260	2678.044	2378.73	2967.17	0
t_n261	2162.197	1783.92	2528.06	0
t_n262	1797.133	1393.58	2209.05	0
t_n263	1402.519	1032.91	1806.26	0
t_n264	825.054	443.1	1279.3	0
t_n265	2213.163	1798.22	2593	0
t_n266	921.736	434.62	1525.23	0
t_n267	2907.735	2684.13	3139.81	0
t_n268_TG-EUKARYA-ARCH	2696.165	2495.86	2897.52	B(1.6191,3.4480,1e-300,1e-300)
t_n269_LECA	1825.555	1696.02	1915.53	B(1.0856,1.8796,0.0250,0.0250)
t_n270	1482.869	1230.5	1704.8	0
t_n271	1324.071	1068.7	1576.02	0
t_n272_FUNGI	881.532	705.01	1068.68	B(0.3921,1.8910,1e-300,0.0250)
t_n273	670.826	377.36	939.86	0
t_n274_METAZOA	601.974	585.24	610.2	B(0.5740,0.6090,1e-300,0.0250)
t_n275_EUMETAZOA	570.149	561.4	586.78	B(0.5611,0.5908,1e-300,0.0250)
t_n276	405.671	168.37	560.19	0
t_n277	518.582	196.1	976.55	0
t_n278	1776.451	1638.46	1882.96	0
t_n279	1693.538	1546.88	1821.42	0
t_n280_ARCHAEPLASTIDA	1489.599	1360.67	1614.81	B(1.0300,1.8796,1e-300,1e-300)
t_n281	1196.218	929.83	1436.63	0
t_n282	1072.414	831.67	1309.27	0
t_n283_EMBRYOPHYTA	474.828	433.18	515.29	B(0.4305,0.5155,1e-300,0.0250)
t_n284_EUDICOT-MONOCOT	226.587	177.47	251.73	B(0.1250,0.2472,1e-300,0.0250)
t_n285	917.972	613.71	1201.34	0
t_n286	102.967	6.18	354.59	0
t_n287	1137.356	844.01	1383.04	0
t_n288	904.954	495.65	1260.91	0
t_n289	1403.413	1155.13	1624.31	0
t_n290	1169.969	826.43	1472.3	0
t_n291	490.469	195.24	879.5	0
t_n292_CG-FORAMINIFERA	796.141	600.24	1008.42	B(0.5225,1.8910,1e-300,1e-300)
t_n293	761.215	404.9	1177.83	0
t_n294	2487.671	2145.38	2762.92	0
t_n295	1903.005	1418.68	2330.28	0
t_n296	2796.361	2438.5	3075.72	0
t_n297	2333.43	1787.92	2771.82	0
t_n298	935.723	287.38	1821.71	0
t_n299	222.089	42.89	594.53	0
t_n300	3071.357	2568.37	3466.09	0
t_n301	3001.078	2483.64	3412.36	0
t_n302	2303.366	1281.63	3017.05	0
t_n303	1356.775	486.78	2285.41	0
t_n304	3393.446	3222.24	3585.82	0
t_n305	3339.223	3175.91	3529.52	0
t_n306	2419.393	1366.87	3096.19	0
t_n307	3161.573	3037.74	3326.67	0
t_n308_TG-OXYPHOTOBACTERIA	2974.694	2945.74	3050.24	B(2.945,4.5200,1e-300,1e-300)
t_n309_CG-OXYPHOTOBACTERIA	2145.234	1979.13	2376.07	B(2.0136,3.4480,0.0250,0.0250)
t_n310	1827.547	1596.7	2089.84	0
t_n311	1638.042	1443.9	1897.32	0
t_n312_ARCHAEPLASTIDA-DUP1	1489.599	1360.67	1614.81	B(1.0300,1.8796,1E-300,1E-300)
t_n313	1252.249	900.34	1499.68	0
t_n314_EMBRYOPHYTA-DUP1	474.828	433.18	515.29	B(0.4305,0.5155,1E-300,0.0250)
t_n315_EUDICOT-MONOCOT-DUP1	226.587	177.47	251.73	B(0.1250,0.2472,1E-300,0.0250)
t_n316	1068.323	616.15	1410.92	0
t_n317	407.842	103.07	878.01	0
t_n318	1234.712	814.72	1510.79	0
t_n319	953.701	355.33	1412.75	0
t_n320	594.245	141.27	1174.43	0
t_n321	900.302	421.2	1333.52	0
t_n322	871.595	562.05	1293.66	0
t_n323	637.465	395.13	964.31	0
t_n324	410.388	229.05	650.85	0
t_n325	742.922	355.75	1202.12	0
t_n326	689.403	186.26	1711.96	0
t_n327	3316.933	3089.71	3529.75	0
t_n328	2489.031	2059.15	2999.55	0
t_n329_TG-EUKARYA-MITO	2038.102	1781	2333.61	B(1.0856,4.5200,0.0250,1e-300)
t_n330	1755.502	1264.98	2174.35	0
t_n331	1330.425	971.88	1771.76	0
t_n332_FUNGI-DUP1	881.532	705.01	1068.68	B(0.3921,1.8910,1E-300,0.0250)
t_n333_METAZOA	601.974	585.24	610.2	B(0.5740,0.6090,1E-300,0.0250)
t_n334_EUMETAZOA-DUP1	570.149	561.4	586.78	B(0.5611,0.5908,1E-300,0.0250)
t_n335	375.505	134.81	556.64	0
t_n336	659.304	145.51	1404.54	0
t_n337	1737.342	1453.09	2122.51	0
t_n338_ARCHAEPLASTIDA-DUP2	1489.599	1360.67	1614.81	B(1.0300,1.8796,1E-300,1E-300)
t_n339	1070.72	677.15	1405.23	0
t_n340_EMBRYOPHYTA-DUP2	474.828	433.18	515.29	B(0.4305,0.5155,1E-300,0.0250)
t_n341_EUDICOT-MONOCOT-DUP2	226.587	177.47	251.73	B(0.1250,0.2472,1E-300,0.0250)
t_n342	789.251	338.84	1241.78	0
t_n343	452.328	105.87	922.37	0
t_n344	750.364	234.33	1327.34	0
t_n345	1158.257	588.32	1718.04	0
t_n346	2012.7	1579.82	2460.49	0
t_n347	1586.918	1004.27	2142.09	0
t_n348	1476.349	1043.76	1944.98	0
t_n349	941.381	480.91	1498.13	0
t_n350	3273.748	3030.7	3496.75	0
t_n351	3005.332	2692.13	3290.58	0
t_n352	2891.972	2583.28	3177.76	0
t_n353	2742.459	2427.09	3038.98	0
t_n354	2368.154	1904.45	2768.45	0
t_n355	814.26	229.33	1564.79	0
t_n356	2536.574	2207.79	2852.02	0
t_n357	2395.017	2056.22	2726.83	0
t_n358	1926.299	1362.25	2394.09	0
t_n359	2181.877	1820.26	2537.54	0
t_n360	1523.223	924.14	2067.55	0
t_n361	1985.951	1592.58	2373.32	0
t_n362	1599.915	1177.15	2030.29	0
t_n363	1231.082	728.59	1745.07	0
t_n364	1712.406	1175.17	2219.19	0
t_n365	2656.839	2147.89	3031.98	0
t_n366	2402.684	1864.18	2837.08	0
t_n367	2075.598	1478.75	2578.85	0
t_n368_LUCA-DUP	4245.769	4135.12	4339.93	B(3.3470,4.5200,1E-300,1E-300)
t_n369	3219.756	3082.68	3390.47	0
t_n370	3104.282	2871.5	3312.45	0
t_n371	2953.997	2679.46	3195.79	0
t_n372	2923.66	2646.08	3168.25	0
t_n373	2795.92	2485.1	3071.92	0
t_n374	2653.623	2319.21	2948.49	0
t_n375	2241.588	1735.84	2671.51	0
t_n376	2162.792	1666.19	2598.57	0
t_n377	1596.676	939.26	2201.49	0
t_n378	1799.766	1197.02	2325.51	0
t_n379	2381.509	1952.8	2753.33	0
t_n380	977.178	507.37	1546.88	0
t_n381	2420.446	1978.31	2794.73	0
t_n382	2033.12	1548.17	2483.76	0
t_n383	1224.281	606.97	1867.08	0
t_n384	2640.258	2198.83	2991.74	0
t_n385	2271.7	1815.02	2680.29	0
t_n386	1615.08	1076.61	2145.8	0
t_n387	958.09	332.89	1683.46	0
t_n388	2359.029	1738.19	2847.73	0
t_n389	1762.798	962.51	2484.96	0
t_n390	2443.227	2114.31	2783.53	0
t_n391_TG-EUKARYA-MITO-DUP	2038.102	1781	2333.61	B(1.0856,4.5200,0.0250,1e-300)
t_n392	1836.371	1604.14	2107.8	0
t_n393	1579.953	1256.34	1903.27	0
t_n394	1325.158	1018.48	1676.01	0
t_n395_FUNGI-DUP2	881.532	705.01	1068.68	B(0.3921,1.8910,1E-300,0.0250)
t_n396	521.302	297.54	769.05	0
t_n397_METAZOA	601.974	585.24	610.2	B(0.5740,0.6090,1E-300,0.0250)
t_n398_EUMETAZOA-DUP2	570.149	561.4	586.78	B(0.5611,0.5908,1E-300,0.0250)
t_n399	418.244	268.15	529.1	0
t_n400	567.888	265.86	990.51	0
t_n401	1696.004	1492.99	1950.8	0
t_n402_ARCHAEPLASTIDA-DUP3	1489.599	1360.67	1614.81	B(1.0300,1.8796,1E-300,1E-300)
t_n403	1048.135	755.08	1336.38	0
t_n404_EMBRYOPHYTA-DUP3	474.828	433.18	515.29	B(0.4305,0.5155,1E-300,0.0250)
t_n405_EUDICOT-MONOCOT-DUP3	226.587	177.47	251.73	B(0.1250,0.2472,1E-300,0.0250)
t_n406	844.569	545.64	1159.97	0
t_n407	295.876	131.08	540.66	0
t_n408	1141.076	802.72	1406.63	0
t_n409	867.387	512.06	1204.41	0
t_n410	799.873	368.91	1331.7	0
t_n411	1670.129	1291.05	2040.22	0
t_n412	565.608	271.52	977.89	0
t_n413_CG-FORAMINIFERA-DUP1	796.141	600.24	1008.42	B(0.5225,1.8910,1E-300,1E-300)
t_n414	1711.44	1220.56	2230.34	0
t_n415	1365.839	816.31	1958.47	0
t_n416	1219.788	827.74	1678.7	0
t_n417	1031.636	626.39	1510.27	0
t_n418	3173.297	3046.31	3340.99	0
t_n419	2926.787	2440.96	3215.81	0
t_n420	2396.235	1759.47	2872.24	0
t_n421	3071.62	2978.44	3215.05	0
t_n422_TG-OXYPHOTOBACTERIA-DUP	2974.694	2945.74	3050.24	B(2.945,4.5200,1E-300,1E-300)
t_n423_CG-OXYPHOTOBACTERIA-DUP	2145.234	1979.13	2376.07	B(2.0136,3.4480,0.0250,0.0250)
t_n424	1894.929	1687.45	2129.16	0
t_n425	1808.892	1610.46	2036.96	0
t_n426_ARCHAEPLASTIDA-DUP4	1489.599	1360.67	1614.81	B(1.0300,1.8796,1E-300,1E-300)
t_n427	1054.31	784.18	1317.42	0
t_n428	869.122	569.48	1170.06	0
t_n429	379.295	146.41	713.93	0
t_n430_EMBRYOPHYTA-DUP4	474.828	433.18	515.29	B(0.4305,0.5155,1E-300,0.0250)
t_n431	1184.65	920.18	1409.09	0
t_n432	970.442	644.65	1272.48	0
t_n433	686.089	351.7	1044.03	0
t_n434	743.892	471.87	1159.88	0
t_n435	558.754	349.76	852.61	0
t_n436	328.894	173.3	548.33	0
t_n437	557.425	263.52	1024.98	0
t_n438	3511.468	3264.32	3751.33	0
t_n439	3386.24	3143.43	3632.19	0
t_n440	2615.966	1674.82	3266.24	0
t_n441	2409.84	1484.73	3091.97	0
t_n442	3289.542	3047.83	3531.48	0
t_n443	3026.962	2805.66	3253.27	0
t_n444	2821.893	2545.48	3083.64	0
t_n445	2727.974	2446.66	2998.96	0
t_n446	2419.896	2083.44	2737.06	0
t_n447	1821.616	1393.37	2237.87	0
t_n448	1586.173	1147.68	2031.08	0
t_n449	1348.815	930.96	1794.99	0
t_n450	1927.174	1488.24	2336.75	0
t_n451	1153.147	697.19	1656.91	0
t_n452	2005.621	1539.31	2442.71	0
t_n453	675.163	436.03	993.62	0
t_n454	296.336	145.99	516.78	0
t_n455	2808.099	2599.13	3024.46	0
t_n456_TG-EUKARYA-ARCH-DUP	2696.165	2495.86	2897.52	B(1.6191,3.4480,1E-300,1E-300)
t_n457_LECA-DUP	1825.555	1696.02	1915.53	B(1.0856,1.8796,0.0250,0.0250)
t_n458	1591.477	1307.04	1807.15	0
t_n459	1144.7	910.17	1410.15	0
t_n460_FUNGI-DUP	881.532	705.01	1068.68	B(0.3921,1.8910,1E-300,0.0250)
t_n461	652.601	375.14	912.47	0
t_n462_METAZOA	601.974	585.24	610.2	B(0.5740,0.6090,1E-300,0.0250)
t_n463_EUMETAZOA-DUP3	570.149	561.4	586.78	B(0.5611,0.5908,1E-300,0.0250)
t_n464	372.752	167.46	532.37	0
t_n465	537.618	208.77	1038.03	0
t_n466	1757.618	1609.04	1874.91	0
t_n467	1662.646	1510.56	1802.73	0
t_n468_ARCHAEPLASTIDA-DUP5	1489.599	1360.67	1614.81	B(1.0300,1.8796,1E-300,1E-300)
t_n469	1354.975	1110.77	1541.9	0
t_n470	1007.494	759.34	1257.82	0
t_n471_EMBRYOPHYTA-DUP5	474.828	433.18	515.29	B(0.4305,0.5155,1E-300,0.0250)
t_n472_EUDICOT-MONOCOT-DUP4	226.587	177.47	251.73	B(0.1250,0.2472,1E-300,0.0250)
t_n473	844.308	578.55	1118.38	0
t_n474	249.945	26.36	655.47	0
t_n475	1148.675	809.76	1418.08	0
t_n476	838.473	428.71	1226.1	0
t_n477	1387.006	1151.39	1604.61	0
t_n478	1094.707	636.12	1460.11	0
t_n479	632.493	308.23	1020.63	0
t_n480_CG-FORAMINIFERA-DUP2	796.141	600.24	1008.42	B(0.5225,1.8910,1E-300,1E-300)
t_n481	424.029	204.59	745.5	0
t_n482	2105.345	1683.44	2472.72	0
t_n483	1826.316	1316.03	2280.18	0
t_n484	2464.214	1941.61	2843.76	0
t_n485	2264.085	1790.18	2645.86	0
t_n486	1104.588	534.46	1843.77	0
t_n487	323.983	113.43	701.63	0
t_n488	3035.726	2527.25	3447.76	0
t_n489	2953.87	2438.12	3381.16	0
t_n490	2410.115	1692.51	2999.09	0
t_n491	2127.217	1389.58	2779.78	0
