Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4489.966	4409.92	4519.22	U(4.520,1e-300)
t_n248_LUCA	4460.113	4354.62	4512.7	B(3.3470,4.5200,1e-300,1e-300)
t_n249	4314.69	3939.38	4486.4	0
t_n250	4145.822	3634.64	4434.74	0
t_n251	2762.786	651.7	4198.43	0
t_n252	1378.447	52.49	3508.77	0
t_n253	3963.145	3360.45	4358.68	0
t_n254	3781.437	3126.04	4260.95	0
t_n255	3490.726	2635.16	4120.66	0
t_n256	3199.645	2240.55	3947.57	0
t_n257	2398.702	894.26	3595.56	0
t_n258	1598.415	293.51	3098.38	0
t_n259	799.071	26.34	2333.58	0
t_n260	2799.727	1687.7	3713.82	0
t_n261	2238.692	970.08	3382.34	0
t_n262	1677.671	494.79	2972.63	0
t_n263	1118.83	175.08	2451.5	0
t_n264	560.768	17.14	1767.77	0
t_n265	1866.158	410.09	3260.64	0
t_n266	930.806	33.48	2522.94	0
t_n267	3376.575	2518.95	4059.47	0
t_n268_TG-EUKARYA-ARCH	2702.738	1964.12	3380.26	B(1.6191,3.4480,1e-300,1e-300)
t_n269_LECA	1893.747	1789.05	2017	B(1.0856,1.8796,0.0250,0.0250)
t_n270	1587.544	1000.02	1917.61	0
t_n271	1218.306	678.18	1764.83	0
t_n272_FUNGI	834.419	441.38	1366.81	B(0.3921,1.8910,1e-300,0.0250)
t_n273	417.844	19.43	1050.75	0
t_n274_METAZOA	594.016	575.79	609.14	B(0.5740,0.6090,1e-300,0.0250)
t_n275_EUMETAZOA	575.236	561.81	590.44	B(0.5611,0.5908,1e-300,0.0250)
t_n276	287.427	14.38	561.01	0
t_n277	794.577	39.1	1695.81	0
t_n278	1824.759	1647.98	1967.91	0
t_n279	1753.752	1553.82	1913.13	0
t_n280_ARCHAEPLASTIDA	1670.916	1455.19	1840.03	B(1.0300,1.8796,1e-300,1e-300)
t_n281	1361.821	766.53	1741.96	0
t_n282	1052.943	522.96	1595.01	0
t_n283_EMBRYOPHYTA	473.183	432.58	515.35	B(0.4305,0.5155,1e-300,0.0250)
