mean_t-conc_cb	2.75%CI-conc_cb	97.5%CI-conc_cb	mean_t-conc_notcb	2.75%CI-conc_notcb	97.5%CI-conc_notcb	mean_t-conc_fosscb	2.75%CI-conc_fosscb	97.5%CI-conc_fosscb	mean_t-part_cb	2.75%CI-part_cb	97.5%CI-part_cb	mean_t-part_notcb	2.75%CI-part_notcb	97.5%CI-part_notcb	mean_t-part_fosscb	2.75%CI-part_fosscb	97.5%CI-part_fosscb
t_n247|ROOT	4494.695	4428.58	4519.35	4487.739	4405.4	4519.17	4500.749	4450.15	4519.5	4501.65	4453.63	4519.54	4497.544	4440.08	4519.42	4505.015	4465.51	4519.61
t_n248|LUCA	4274.561	4180.49	4349.79	4401.186	4192.17	4505.16	4292.46	4211.46	4358.58	4260.018	4175.22	4332.05	4377.553	4133.18	4503.21	4277.179	4198.84	4343.68
t_n368|LUCA-dup	4274.561	4180.49	4349.79	4042.452	3855.76	4263.88	4292.46	4211.46	4358.58	4260.018	4175.22	4332.05	4066.426	3879.93	4343.37	4277.179	4198.84	4343.68
t_n249|LACA	3315.707	3078.33	3534.26	3080.999	2831.22	3325.68	3338.779	3080.3	3578.54	3240.473	3045.6	3423.11	3094.473	2909.23	3332.69	3178.491	2945.01	3397.67
t_n438|LACA-dup	3315.707	3078.33	3534.26	3093.031	2876	3334.04	3525.372	3280.22	3744.25	3240.473	3045.6	3423.11	3061.228	2864	3285.5	3457.442	3249.17	3649.03
t_n267|LAsCA	2382.008	2161.97	2613.8	2284.379	2070.39	2514.82	2513.931	2292.54	2742.31	2510.591	2318.88	2705.33	2685.185	2462.31	2907.84	2700.823	2487.09	2918.54
t_n455|LAsCA-dup	2382.008	2161.97	2613.8	2214.241	2012.67	2421.26	2583.896	2356.27	2818.49	2510.591	2318.88	2705.33	2198.008	1992.43	2425.88	2595.026	2398.78	2790.94
t_n268|TG-EUKARYA-ARCH	2251.302	2040.24	2477.66	2204.281	1992.81	2431.83	2417.748	2206.67	2635.48	2346.086	2154.67	2543.37	2517.746	2283.73	2749.24	2490.394	2298.39	2683.82
t_n456|TG-EUKARYA-ARCH-DUP	2251.302	2040.24	2477.66	2085.985	1891.96	2293.7	2417.748	2206.67	2635.48	2346.086	2154.67	2543.37	2099.135	1896.35	2332.23	2490.394	2298.39	2683.82
t_n269|LECA	1293.646	1200.67	1411.81	1370.004	1232.96	1540.6	1446.393	1309.1	1603.1	1321.414	1212.43	1442.23	1429.168	1262.92	1625.19	1457.843	1327.89	1594.83
t_n457|LECA-DUP	1293.646	1200.67	1411.81	1346.737	1224.82	1498.13	1446.393	1309.1	1603.1	1321.414	1212.43	1442.23	1364.613	1233.25	1518.68	1457.843	1327.89	1594.83
t_n272|FUNGI	683.842	586.32	788.89	692.381	511.85	870.44	728.621	614.39	854.98	647.026	539.47	762.27	761.86	523.18	1005.69	670.517	551.69	802.34
t_n332|FUNGI-DUP	683.842	586.32	788.89	905.831	651.07	1221.15	728.621	614.39	854.98	647.026	539.47	762.27	813.66	435.64	1219.28	670.517	551.69	802.34
t_n395|FUNGI-DUP	683.842	586.32	788.89	766.258	611.09	957.06	728.621	614.39	854.98	647.026	539.47	762.27	696.289	434.4	918.95	670.517	551.69	802.34
t_n460|FUNGI-DUP	683.842	586.32	788.89	759.435	604.69	929.91	728.621	614.39	854.98	647.026	539.47	762.27	729.344	554.85	906.9	670.517	551.69	802.34
t_n274|METAZOA	605.449	594.59	611	597.998	578.27	609.66	605.417	594.48	611.03	601.566	584.55	610.17	594.893	576.12	609.23	602.491	586.55	610.36
t_n333|METAZOA-DUP	605.449	594.59	611	601.553	583.39	610.25	605.417	594.48	611.03	601.566	584.55	610.17	595.596	576.31	609.34	602.491	586.55	610.36
t_n397|METAZOA-DUP	605.449	594.59	611	602.242	585.26	610.34	605.417	594.48	611.03	601.566	584.55	610.17	601.006	582.26	610.13	602.491	586.55	610.36
t_n462|METAZOA-DUP	605.449	594.59	611	599.642	580.27	609.91	605.417	594.48	611.03	601.566	584.55	610.17	597.502	577.58	609.68	602.491	586.55	610.36
t_n275|EUMETAZOA	566.192	561.25	577.65	573.9	561.65	589.99	566.568	561.26	578.73	569.998	561.39	586.52	575.583	561.91	590.49	569.873	561.4	586.4
t_n334|EUMETAZOA-DUP	566.192	561.25	577.65	570.132	561.39	587.3	566.568	561.26	578.73	569.998	561.39	586.52	574.504	561.72	590.29	569.873	561.4	586.4
t_n398|EUMETAZOA-DUP	566.192	561.25	577.65	570.411	561.41	587.38	566.568	561.26	578.73	569.998	561.39	586.52	570.869	561.44	588.13	569.873	561.4	586.4
t_n463|EUMETAZOA-DUP	566.192	561.25	577.65	571.871	561.5	588.89	566.568	561.26	578.73	569.998	561.39	586.52	572.008	561.47	589.14	569.873	561.4	586.4
t_n280|ARCHAEPLASTIDA	1102.579	1035.3	1201.82	1152.284	1039.07	1311.61	1206.103	1090.37	1337.49	1150.099	1053.95	1259.78	1280.024	1117.53	1471.99	1264.697	1147.69	1389.08
t_n312|ARCHAEPLASTIDA-DUP	1102.579	1035.3	1201.82	1511.797	1176.02	1820.15	1206.103	1090.37	1337.49	1150.099	1053.95	1259.78	1485.174	1128.22	1839.27	1264.697	1147.69	1389.08
t_n338|ARCHAEPLASTIDA-DUP	1102.579	1035.3	1201.82	1463.743	1050.02	1850.75	1206.103	1090.37	1337.49	1150.099	1053.95	1259.78	1629.824	1097.95	1872.59	1264.697	1147.69	1389.08
t_n402|ARCHAEPLASTIDA-DUP	1102.579	1035.3	1201.82	1176.785	1035.6	1481.3	1206.103	1090.37	1337.49	1150.099	1053.95	1259.78	1156.759	1034	1377	1264.697	1147.69	1389.08
t_n426|ARCHAEPLASTIDA-DUP	1102.579	1035.3	1201.82	1213.765	1034.81	1541.84	1206.103	1090.37	1337.49	1150.099	1053.95	1259.78	1301.561	1068.74	1597.91	1264.697	1147.69	1389.08
t_n468|ARCHAEPLASTIDA-DUP	1102.579	1035.3	1201.82	1124.809	1035.02	1269.31	1206.103	1090.37	1337.49	1150.099	1053.95	1259.78	1125.115	1034.68	1279.94	1264.697	1147.69	1389.08
t_n283|EMBRYOPHYTA	446.185	431	482.52	444.536	430.91	481.3	449.931	431.13	493.17	465.997	432.29	511.85	464.966	431.89	513.19	475.211	433.7	514.99
t_n314|EMBRYOPHYTA-DUP	446.185	431	482.52	470.924	432.45	514.87	449.931	431.13	493.17	465.997	432.29	511.85	475.4	433.06	515.73	475.211	433.7	514.99
t_n340|EMBRYOPHYTA-DUP	446.185	431	482.52	476.519	433.47	515.74	449.931	431.13	493.17	465.997	432.29	511.85	475.779	433.11	515.68	475.211	433.7	514.99
t_n404|EMBRYOPHYTA-DUP	446.185	431	482.52	467.027	432.19	513.47	449.931	431.13	493.17	465.997	432.29	511.85	469.857	432.4	514.28	475.211	433.7	514.99
t_n430|EMBRYOPHYTA-DUP	446.185	431	482.52	475.416	433.16	515.59	449.931	431.13	493.17	465.997	432.29	511.85	476.726	433.36	515.73	475.211	433.7	514.99
t_n471|EMBRYOPHYTA-DUP	446.185	431	482.52	459.323	431.57	509.12	449.931	431.13	493.17	465.997	432.29	511.85	465.172	431.86	512.92	475.211	433.7	514.99
t_n284|EUDICOT-MONOCOT	249.716	235.23	267.98	247.747	230.29	266.15	250.771	236.27	270.66	241.727	217.88	257.29	238.102	205.31	255.82	241.655	217.47	257.38
t_n315|EUDICOT-MONOCOT-DUP	249.716	235.23	267.98	217.043	149.51	251.01	250.771	236.27	270.66	241.727	217.88	257.29	208.944	135.54	250.02	241.655	217.47	257.38
t_n341|EUDICOT-MONOCOT-DUP	249.716	235.23	267.98	199.298	133.63	248.07	250.771	236.27	270.66	241.727	217.88	257.29	199.524	131.12	248.7	241.655	217.47	257.38
t_n405|EUDICOT-MONOCOT-DUP	249.716	235.23	267.98	228.25	182.54	252.09	250.771	236.27	270.66	241.727	217.88	257.29	227.049	177.89	251.71	241.655	217.47	257.38
t_n472|EUDICOT-MONOCOT-DUP	249.716	235.23	267.98	222.364	167.93	251.04	250.771	236.27	270.66	241.727	217.88	257.29	208.42	140	249.27	241.655	217.47	257.38
t_n287|RHODOPHYTA	860.543	779.86	956.6	811.871	602.06	1016.39	873.44	682.91	1049.81	927.293	823.31	1041.09	1104.131	903.13	1318.09	1074.769	898.02	1241.03
t_n318|RHODOPHYTA-DUP	860.543	779.86	956.6	1326.244	1013.12	1652.27	1081.32	904.39	1245.1	927.293	823.31	1041.09	1332.011	988.67	1717.47	1163.115	952.27	1328.14
t_n344|RHODOPHYTA-DUP	860.543	779.86	956.6	884.326	473.06	1338.71	725.917	421.97	1013.14	927.293	823.31	1041.09	898.511	442.23	1436.92	714.938	305.35	1101.3
t_n408|RHODOPHYTA-DUP	860.543	779.86	956.6	844.536	625.33	1125.08	874.486	691.07	1047.24	927.293	823.31	1041.09	896.818	693.58	1122.74	978.484	790.92	1151.83
t_n431|RHODOPHYTA-DUP	860.543	779.86	956.6	960.475	737.76	1274.26	972.698	806.74	1132.75	927.293	823.31	1041.09	1004.614	780.76	1280.99	990.399	806.88	1164.54
t_n475|RHODOPHYTA-DUP	860.543	779.86	956.6	875.1	705.74	1059.44	944.132	770.28	1109.05	927.293	823.31	1041.09	926.364	753.6	1113.33	1046.578	851.65	1224.62
t_n292|FORAMINIFERA	568.033	524.17	655.56	603.057	524.98	755.21	591.163	525.63	708.18	631.676	533.63	758.67	758.382	545.25	977.79	666.592	543.57	814.13
t_n413|FORAMINIFERA-DUP	568.033	524.17	655.56	825.013	606.63	1065.18	591.163	525.63	708.18	631.676	533.63	758.67	909.662	688.5	1125.17	666.592	543.57	814.13
t_n480|FORAMINIFERA-DUP	568.033	524.17	655.56	586.539	524.26	725.93	591.163	525.63	708.18	631.676	533.63	758.67	577.303	523.92	715.75	666.592	543.57	814.13
t_n294|HEIMDAL	2029.838	1810.13	2261.38	2099.491	1864.97	2335.27	2299.749	2057.42	2536.88	2090.05	1878.66	2302.06	2428.078	2171.14	2675.88	2393.533	2166.73	2608.96
t_n482|HEIMDAL-DUP	2029.838	1810.13	2261.38	1695.961	1304.46	1976.89	2001.91	1660.73	2290.71	2090.05	1878.66	2302.06	1597.349	1288.29	1933.63	1991.421	1676.7	2274.58
t_n296|ASGARD	2269.466	2038.79	2510.68	2195.365	1966.66	2432.81	2406.616	2144.89	2660.03	2396.289	2161.53	2616.77	2625.486	2365.72	2869.27	2634.112	2376.87	2871.95
t_n484|ASGARD-DUP	2269.466	2038.79	2510.68	2106.252	1876.32	2325.34	2439.551	2167.4	2701.93	2396.289	2161.53	2616.77	2024.723	1718.3	2299.85	2344.668	2014.44	2625.19
t_n304|LBCA	3357.313	3248.79	3480.69	3485.955	3294.65	3661.55	3415.402	3274.6	3570.51	3241.528	3156.08	3337.27	3310.249	3102.86	3490.09	3284.105	3168.58	3413.38
t_n369|LBCA-DUP	3357.313	3248.79	3480.69	3153.581	3062.63	3308.54	3349.981	3200.46	3521.58	3241.528	3156.08	3337.27	3138.776	3022.5	3366.38	3256.482	3133.37	3397.28
t_n308|TG-OXYPHOTOBACTERIA	2978.991	2945.91	3064.38	3097.92	2951.2	3227.66	2981.482	2946.01	3071.05	2966.081	2945.55	3020.71	3025.05	2946.39	3148.17	2967.774	2945.6	3026.05
t_n422|TG-OXYPHOTOBACTERIA-DUP	2978.991	2945.91	3064.38	2969.053	2945.53	3047.84	2981.482	2946.01	3071.05	2966.081	2945.55	3020.71	2994.396	2945.54	3196.74	2967.774	2945.6	3026.05
t_n309|CG-OXYPHOTOBACTERIA	2215.808	2012.33	2436.25	2352.99	2025.78	2664.25	2275.822	2060.72	2478.95	2140.771	1982.61	2339.41	2262.798	1992.07	2589.86	2220.297	2027.28	2415.71
t_n423|CG-OXYPHOTOBACTERIA-DUP	2215.808	2012.33	2436.25	2345.895	2059.4	2576.44	2275.822	2060.72	2478.95	2140.771	1982.61	2339.41	2319.129	2062.4	2578.16	2220.297	2027.28	2415.71
t_n328|LECA	2053.664	1716.18	2455.81	2371.568	1873.41	2862.38	2053.128	1646.79	2594.93	2222.053	1914.53	2525.89	2571.679	2108.15	2984.64	2281.272	1771	2786.96
t_n390|LECA-DUP	2053.664	1716.18	2455.81	2119.938	1777.48	2436.39	2307.426	1939.94	2675.85	2222.053	1914.53	2525.89	2280.113	1981.33	2578.61	2449.047	2136.16	2739.18
t_n329|TG-EUKARYA-MITO	1432.561	1287.98	1616.36	2061.411	1601.19	2545.11	1605.139	1398	1857.16	1425.579	1275.01	1606.1	2315.244	1832.66	2791.16	1649.27	1442.48	1884.61
t_n391|TG-EUKARYA-MITO-DUP	1432.561	1287.98	1616.36	1559.167	1314.44	1870.26	1605.139	1398	1857.16	1425.579	1275.01	1606.1	1550.63	1339.5	1803.96	1649.27	1442.48	1884.61
