mean_t-conc_cb	2.75%CI-conc_cb	97.5%CI-conc_cb	mean_t-conc_notcb	2.75%CI-conc_notcb	97.5%CI-conc_notcb	mean_t-conc_fosscb	2.75%CI-conc_fosscb	97.5%CI-conc_fosscb	mean_t-part_cb	2.75%CI-part_cb	97.5%CI-part_cb	mean_t-part_notcb	2.75%CI-part_notcb	97.5%CI-part_notcb	mean_t-part_fosscb	2.75%CI-part_fosscb	97.5%CI-part_fosscb
t_n247|ROOT	4491.033	4415.09	4519.26	4471.663	4347.99	4518.7	4496.407	4433.92	4519.39	4500.711	4449.71	4519.49	4494.278	4427.43	4519.28	4503.624	4460.55	4519.56
t_n248|LUCA	4180.639	4026.54	4311.36	4342.815	3915.24	4499.92	4238.323	4102.1	4352.19	4213.607	4092.82	4318.06	4395.841	4145.54	4506.52	4245.769	4135.12	4339.93
t_n368|LUCA-dup	4180.639	4026.54	4311.36	3828.888	3540.3	4340.23	4238.323	4102.1	4352.19	4213.607	4092.82	4318.06	3917.125	3683.13	4176.14	4245.769	4135.12	4339.93
t_n249|LACA	3449.865	3193.91	3695.85	3239.845	2935.86	3633.29	3587.891	3294.75	3865.75	3376.632	3166.86	3578.33	3265.392	2981.46	3615.77	3494.09	3258.81	3719.82
t_n438|LACA-dup	3449.865	3193.91	3695.85	3147.4	2901.81	3490.46	3684.415	3399.3	3946.07	3376.632	3166.86	3578.33	3055.591	2863.86	3287.59	3511.468	3264.32	3751.33
t_n267|LAsCA	2665.318	2418.87	2915.97	2484.286	2200.17	2804.56	2778.092	2525.75	3044.72	2751.507	2544.32	2958.83	2749.043	2491.93	3031.96	2907.735	2684.13	3139.81
t_n455|LAsCA-dup	2665.318	2418.87	2915.97	2404.625	2147.51	2694.12	2841.41	2584.57	3111.46	2751.507	2544.32	2958.83	2425.275	2209.36	2626.95	2808.099	2599.13	3024.46
t_n268|TG-EUKARYA-ARCH	2504.374	2256.1	2758.11	2370.915	2090.29	2676.07	2629.429	2394.9	2872.76	2594.898	2382.91	2809.89	2590.549	2351.93	2862.28	2696.165	2495.86	2897.52
t_n456|TG-EUKARYA-ARCH-DUP	2504.374	2256.1	2758.11	2236.727	1973.31	2521.54	2629.429	2394.9	2872.76	2594.898	2382.91	2809.89	2325.142	2096.95	2535.97	2696.165	2495.86	2897.52
t_n269|LECA	1699.09	1535.69	1861.16	1779.163	1590.12	1902.97	1840.982	1715.06	1929.78	1710.569	1559.09	1861.39	1795.702	1634.4	1904.19	1825.555	1696.02	1915.53
