Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4473.076	4349.44	4518.74	U(4.520,1e-300)
t_n248_LUCA	4426.273	4264.13	4508.5	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	4294.142	3937.73	4476.36	0
t_n250	4136.921	3656.4	4421.45	0
t_n251	2752.802	651.74	4178.03	0
t_n252	1376.655	52.14	3494.11	0
t_n253	3968.121	3401.69	4345.58	0
t_n254	3799.807	3175.6	4253.75	0
t_n255	3545.91	2757.29	4127.51	0
t_n256	3291.743	2405.96	3978.29	0
t_n257	2465.933	927.64	3635.34	0
t_n258	1639.168	304.8	3138.6	0
t_n259	819.66	27.57	2374.45	0
t_n260	2962.371	1946.64	3784.3	0
t_n261	2538.735	1391.28	3525.51	0
t_n262	1904.567	647.58	3135.81	0
t_n263	1269.603	219.89	2617.66	0
t_n264	635.825	20.14	1925.83	0
t_n265	1974.106	446.45	3348.41	0
t_n266	986.842	35.6	2637.52	0
t_n267	3385.826	2494.39	4057.57	0
t_n268_TG-EUKARYA-ARCH	2676.576	1888.76	3397.55	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1831.056	1638.58	1942.72	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1555.25	992.97	1871.3	0
t_n271	1230.043	670.21	1749.97	0
t_n272_FUNGI	885.342	422.57	1533.69	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	443.154	19.81	1168.17	0
t_n274_METAZOA	593.976	575.73	609.14	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	574.929	561.78	590.34	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	288.133	14.3	561.05	0
t_n277	779.003	37.37	1654.4	0
t_n278	1736.076	1466.93	1897.84	0
t_n279	1637.276	1324.25	1851.17	0
t_n280_ARCHAEPLASTIDA	1507.214	1149.7	1783.47	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1235.162	705.72	1663.72	0
t_n282	963.353	510.62	1497.51	0
t_n283_EMBRYOPHYTA	473.646	432.65	515.43	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	187.558	128.07	247.15	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	642.448	134.68	1263.85	0
t_n286	320.995	11.2	935.4	0
t_n287	1330.285	871.21	1693.03	0
t_n288	663.771	32.23	1434.01	0
t_n289	1340.516	788.46	1746.3	0
t_n290	832.572	166.95	1520.62	0
t_n291	324.15	10.28	943.8	0
t_n292_CG-FORAMINIFERA	915.809	538.16	1507.48	[#11 B{0.5225,1.8910,1e-300,1e-300}]
