Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4496.704	4435.01	4519.41	U(4.520,1e-300)
t_n248_LUCA	4400.765	4301.31	4472.88	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3151.332	2853.61	3429.65	0
t_n250	3020.53	2723.66	3303.1	0
t_n251	2808.971	2247.73	3196.64	0
t_n252	2545.142	1890.5	3025.69	0
t_n253	2864.336	2565.15	3155.71	0
t_n254	2736.847	2437.57	3033.14	0
t_n255	2437.365	2091.88	2773.99	0
t_n256	2284.339	1942.33	2622.01	0
t_n257	1352.895	895.58	1812.36	0
t_n258	321.347	149.59	582.64	0
t_n259	200.769	82.7	394.47	0
t_n260	2226.588	1869.9	2574.02	0
t_n261	2168.839	1803.9	2523.18	0
t_n262	1742.498	1056.49	2310.38	0
t_n263	1217.929	616.49	1806.57	0
t_n264	982.878	470.51	1554.62	0
t_n265	1702.896	1282.5	2109.92	0
t_n266	648.291	351.44	1028	0
t_n267	2626.763	2328.03	2926.45	0
t_n268_TG-EUKARYA-ARCH	2416.313	2126.54	2714.95	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1552.366	1349.93	1778.48	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1332.524	1130.42	1556.75	0
t_n271	1089.724	907.79	1304.69	0
t_n272_FUNGI	801.702	600.76	1024.86	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	641.06	456.86	851.97	0
t_n274_METAZOA	596.581	577.03	609.46	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	574.206	561.7	590.1	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	456.072	352.09	540.35	0
t_n277	437.36	250.48	669.68	0
t_n278	1511.461	1312.07	1733.4	0
t_n279	1463.013	1269.16	1679.66	0
t_n280_ARCHAEPLASTIDA	1269.565	1096.65	1462.51	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1088.874	858.2	1347.53	0
t_n282	945.142	792.65	1120.65	0
t_n283_EMBRYOPHYTA	467.936	432.12	513.89	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	196.318	133.84	247.03	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	736.111	562.73	927.33	0
t_n286	145.445	46.61	293.99	0
t_n287	1093.329	909.97	1293.56	0
t_n288	847.631	590.53	1100.76	0
t_n289	1171.316	956.81	1404.49	0
t_n290	1092.264	843.1	1345.34	0
t_n291	437.342	250.8	663.39	0
t_n292_CG-FORAMINIFERA	672.722	533.5	876.52	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	381.846	189.54	640	0
