Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4489.636	4409.42	4519.21	U(4.520,1e-300)
t_n248_LUCA	4359.399	4204.4	4472.52	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3511.123	3188.97	3813.18	0
t_n250	3389.48	3057.92	3705.83	0
t_n251	2759.409	1429.64	3529.38	0
t_n252	2345.049	1120.31	3293.59	0
t_n253	3265.576	2936.68	3586.1	0
t_n254	3146.697	2820.02	3469.08	0
t_n255	2845.945	2474.04	3208.53	0
t_n256	2662.607	2287.97	3032.86	0
t_n257	1565.778	1021.49	2150.17	0
t_n258	398.192	216.72	664.78	0
t_n259	225.56	95.63	426.81	0
t_n260	2601.466	2219.08	2978.29	0
t_n261	2521.008	2115.83	2913.07	0
t_n262	1930.797	1153.97	2602.04	0
t_n263	1406.959	795.22	2079.77	0
t_n264	1095.488	541.45	1771.64	0
t_n265	1988.249	1502.86	2459.72	0
t_n266	896.424	507.47	1383.61	0
t_n267	3001.82	2660.75	3340.45	0
t_n268_TG-EUKARYA-ARCH	2697.576	2343.02	3058.17	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1764.058	1548.29	1903.39	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1467.734	1195.77	1714.51	0
t_n271	1194.591	933.7	1472.09	0
t_n272_FUNGI	858.59	602.52	1144.44	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	678.044	438.36	955.78	0
t_n274_METAZOA	596.895	577.23	609.52	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	572.863	561.57	589.57	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	426.188	275.31	537.28	0
t_n277	419.813	215.79	709.48	0
t_n278	1703.774	1483.13	1870.76	0
t_n279	1605.228	1386.63	1798.84	0
t_n280_ARCHAEPLASTIDA	1327.832	1132.05	1530.76	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1144.279	872.97	1420.73	0
t_n282	946.621	759.9	1159.85	0
t_n283_EMBRYOPHYTA	468.015	432.1	514.03	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	188.662	129.68	246.36	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	725.804	509.2	961.74	0
t_n286	131.26	30.93	300.59	0
t_n287	1121.666	899.58	1350.42	0
t_n288	822.75	507.29	1129.41	0
t_n289	1323.185	1059.79	1575.59	0
t_n290	1152.099	795.41	1470.68	0
t_n291	471.918	259.61	746.21	0
t_n292_CG-FORAMINIFERA	792.359	556.55	1080.84	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	490.538	230.08	868.77	0
t_n294	2193.794	1639.47	2684.65	0
t_n295	1741.082	1129.76	2334.18	0
t_n296	2833.301	2367.77	3231.51	0
t_n297	2109.125	1449.37	2697.91	0
t_n298	1068.341	291.55	2096.6	0
t_n299	283.359	120.07	551.4	0
t_n300	2530.218	1812.93	3215.74	0
t_n301	2400.686	1678.75	3104.55	0
t_n302	2034.625	1287.66	2789.44	0
t_n303	787.434	43.63	1935.56	0
t_n304	3504.022	3264.98	3767.31	0
t_n305	3419.906	3192.59	3682.94	0
t_n306	3032.53	2191.27	3518.27	0
t_n307	3224.455	3032.99	3483.46	0
t_n308_TG-OXYPHOTOBACTERIA	3035.985	2947.64	3245.77	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n309_CG-OXYPHOTOBACTERIA	2274.606	1986.15	2690.91	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n310	1780.315	1445.23	2184.7	0
t_n311	1452.888	1219.5	1727.65	0
t_n312_ARCHAEPLASTIDA-DUP1	1327.832	1132.05	1530.76	[#6]
t_n313	946.621	759.9	1159.85	0
t_n314_EMBRYOPHYTA-DUP1	468.015	432.1	514.03	[#5]
t_n315_EUDICOT-MONOCOT-DUP1	188.662	129.68	246.36	[#4]
t_n316	725.804	509.2	961.74	0
t_n317	131.26	30.93	300.59	0
t_n318	1121.666	899.58	1350.42	0
t_n319	826.196	406.13	1218.77	0
t_n320	471.918	259.61	746.21	0
t_n321	794.331	394.89	1157.17	0
t_n322	1096.115	705.41	1470.93	0
t_n323	867.903	502.68	1267.24	0
t_n324	452.078	189.38	821.12	0
t_n325	904.172	459	1335.81	0
t_n326	508.279	205.19	1025.15	0
t_n327	3431.419	3157.42	3711.3	0
t_n328	2438.533	1964.98	2958.88	0
t_n329_TG-EUKARYA-MITO	2165.321	1717.88	2703.9	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n330	1467.734	1195.77	1714.51	0
t_n331	1194.591	933.7	1472.09	0
t_n332_FUNGI-DUP1	858.59	602.52	1144.44	[#2]
t_n333_METAZOA	596.895	577.23	609.52	[#13]
t_n334_EUMETAZOA-DUP1	572.863	561.57	589.57	[#3]
t_n335	426.188	275.31	537.28	0
t_n336	419.813	215.79	709.48	0
t_n337	1653.984	1342.34	2062.93	0
t_n338_ARCHAEPLASTIDA-DUP2	1327.832	1132.05	1530.76	[#6]
t_n339	946.621	759.9	1159.85	0
t_n340_EMBRYOPHYTA-DUP2	468.015	432.1	514.03	[#5]
t_n341_EUDICOT-MONOCOT-DUP2	188.662	129.68	246.36	[#4]
t_n342	725.804	509.2	961.74	0
t_n343	131.26	30.93	300.59	0
t_n344	1121.666	899.58	1350.42	0
t_n345	1078.948	552.1	1612.37	0
t_n346	1946.269	1346.11	2575.36	0
t_n347	1422.288	814.07	2104.1	0
t_n348	1251.77	736.85	1873.65	0
t_n349	904.709	446.43	1515.94	0
t_n350	3380.701	3091.94	3669.72	0
t_n351	3226.825	2826.02	3572.06	0
t_n352	3078.8	2656.85	3455.96	0
t_n353	3022.303	2595.82	3407.18	0
t_n354	2634.037	2060.36	3109.81	0
t_n355	462.162	29.14	1221.66	0
t_n356	2804.946	2312.34	3247.16	0
t_n357	2619.064	2084.6	3102.33	0
t_n358	1682.203	789.77	2521.78	0
t_n359	2437.621	1850.26	2969.29	0
t_n360	1729.426	933.6	2482.12	0
t_n361	1870.192	1180.62	2532.65	0
t_n362	863.774	164.06	1747.62	0
t_n363	431.069	14.43	1279.84	0
t_n364	2180.178	1313.9	2883.86	0
t_n365	2374.341	1371.48	3208.87	0
t_n366	1950.52	1157.99	2790.69	0
t_n367	1414.605	788.29	2126.39	0
t_n368_LUCA-DUP	4359.399	4204.4	4472.52	[#1]
t_n369	3504.022	3264.98	3767.31	0
t_n370	3431.419	3157.42	3711.3	0
t_n371	3380.701	3091.94	3669.72	0
t_n372	3192.873	2741.7	3560.74	0
t_n373	3002.088	2511.68	3425.36	0
t_n374	2910.393	2413.38	3348.03	0
t_n375	2340.324	1578.4	3008.81	0
t_n376	2197.889	1444.65	2891.83	0
t_n377	1120.094	59.06	2333.13	0
t_n378	1414.605	788.29	2126.39	0
t_n379	2634.037	2060.36	3109.81	0
t_n380	462.162	29.14	1221.66	0
t_n381	2717.355	1926.16	3279.77	0
t_n382	2299.552	1341.95	3053.26	0
t_n383	923.919	46.64	2224.33	0
t_n384	2614.24	1523.88	3346.2	0
t_n385	2036.192	1096.46	2886.81	0
t_n386	1250.657	246.9	2404.68	0
t_n387	625.677	21.65	1807.78	0
t_n388	2728.501	1380.69	3482.07	0
t_n389	1378.217	27.93	3178.59	0
t_n390	2438.533	1964.98	2958.88	0
t_n391_TG-EUKARYA-MITO-DUP	2165.321	1717.88	2703.9	[#8]
t_n392	1842.163	1499.91	2294.04	0
t_n393	1467.734	1195.77	1714.51	0
t_n394	1194.591	933.7	1472.09	0
t_n395_FUNGI-DUP2	858.59	602.52	1144.44	[#2]
t_n396	678.044	438.36	955.78	0
t_n397_METAZOA	596.895	577.23	609.52	[#13]
t_n398_EUMETAZOA-DUP2	572.863	561.57	589.57	[#3]
t_n399	426.188	275.31	537.28	0
t_n400	419.813	215.79	709.48	0
t_n401	1653.984	1342.34	2062.93	0
t_n402_ARCHAEPLASTIDA-DUP3	1327.832	1132.05	1530.76	[#6]
t_n403	946.621	759.9	1159.85	0
t_n404_EMBRYOPHYTA-DUP3	468.015	432.1	514.03	[#5]
t_n405_EUDICOT-MONOCOT-DUP3	188.662	129.68	246.36	[#4]
t_n406	725.804	509.2	961.74	0
t_n407	131.26	30.93	300.59	0
t_n408	1121.666	899.58	1350.42	0
t_n409	832.294	361.98	1210.82	0
t_n410	471.918	259.61	746.21	0
t_n411	1762.169	1275.85	2321.87	0
t_n412	490.538	230.08	868.77	0
t_n413_CG-FORAMINIFERA-DUP1	792.359	556.55	1080.84	[#11]
t_n414	1847.811	1184.61	2562.92	0
t_n415	1422.288	814.07	2104.1	0
t_n416	1251.77	736.85	1873.65	0
t_n417	904.709	446.43	1515.94	0
t_n418	3419.906	3192.59	3682.94	0
t_n419	3032.53	2191.27	3518.27	0
t_n420	2721.389	1679.45	3370.36	0
t_n421	3224.455	3032.99	3483.46	0
t_n422_TG-OXYPHOTOBACTERIA-DUP	3035.985	2947.64	3245.77	[#10]
t_n423_CG-OXYPHOTOBACTERIA-DUP	2274.606	1986.15	2690.91	[#9]
t_n424	1780.315	1445.23	2184.7	0
t_n425	1452.888	1219.5	1727.65	0
t_n426_ARCHAEPLASTIDA-DUP4	1327.832	1132.05	1530.76	[#6]
t_n427	946.621	759.9	1159.85	0
t_n428	725.804	509.2	961.74	0
t_n429	131.26	30.93	300.59	0
t_n430_EMBRYOPHYTA-DUP4	468.015	432.1	514.03	[#5]
t_n431	1121.666	899.58	1350.42	0
t_n432	942.365	518.28	1256.97	0
t_n433	465.603	22.94	1053.43	0
t_n434	1096.115	705.41	1470.93	0
t_n435	867.903	502.68	1267.24	0
t_n436	452.078	189.38	821.12	0
t_n437	508.279	205.19	1025.15	0
t_n438	3511.123	3188.97	3813.18	0
t_n439	3389.48	3057.92	3705.83	0
t_n440	2759.409	1429.64	3529.38	0
t_n441	2345.049	1120.31	3293.59	0
t_n442	3265.576	2936.68	3586.1	0
t_n443	3146.697	2820.02	3469.08	0
t_n444	2845.945	2474.04	3208.53	0
t_n445	2662.607	2287.97	3032.86	0
t_n446	2601.466	2219.08	2978.29	0
t_n447	2521.008	2115.83	2913.07	0
t_n448	1840.741	948.05	2589.83	0
t_n449	1188.757	564.33	1920.2	0
t_n450	1988.249	1502.86	2459.72	0
t_n451	896.424	507.47	1383.61	0
t_n452	1565.778	1021.49	2150.17	0
t_n453	398.192	216.72	664.78	0
t_n454	225.56	95.63	426.81	0
t_n455	3001.82	2660.75	3340.45	0
t_n456_TG-EUKARYA-ARCH-DUP	2697.576	2343.02	3058.17	[#7]
t_n457_LECA-DUP	1764.058	1548.29	1903.39	[#12]
t_n458	1467.734	1195.77	1714.51	0
t_n459	1194.591	933.7	1472.09	0
t_n460_FUNGI-DUP	858.59	602.52	1144.44	[#2]
t_n461	678.044	438.36	955.78	0
t_n462_METAZOA	596.895	577.23	609.52	[#13]
t_n463_EUMETAZOA-DUP3	572.863	561.57	589.57	[#3]
t_n464	426.188	275.31	537.28	0
t_n465	419.813	215.79	709.48	0
t_n466	1703.774	1483.13	1870.76	0
t_n467	1605.228	1386.63	1798.84	0
t_n468_ARCHAEPLASTIDA-DUP5	1327.832	1132.05	1530.76	[#6]
t_n469	1144.279	872.97	1420.73	0
t_n470	946.621	759.9	1159.85	0
t_n471_EMBRYOPHYTA-DUP5	468.015	432.1	514.03	[#5]
t_n472_EUDICOT-MONOCOT-DUP4	188.662	129.68	246.36	[#4]
t_n473	725.804	509.2	961.74	0
t_n474	131.26	30.93	300.59	0
t_n475	1121.666	899.58	1350.42	0
t_n476	822.75	507.29	1129.41	0
t_n477	1323.185	1059.79	1575.59	0
t_n478	1152.099	795.41	1470.68	0
t_n479	471.918	259.61	746.21	0
t_n480_CG-FORAMINIFERA-DUP2	792.359	556.55	1080.84	[#11]
t_n481	490.538	230.08	868.77	0
t_n482	2193.794	1639.47	2684.65	0
t_n483	1741.082	1129.76	2334.18	0
t_n484	2833.301	2367.77	3231.51	0
t_n485	2109.125	1449.37	2697.91	0
t_n486	1068.341	291.55	2096.6	0
t_n487	283.359	120.07	551.4	0
t_n488	2530.218	1812.93	3215.74	0
t_n489	2333.601	1601.98	3055.4	0
t_n490	2034.625	1287.66	2789.44	0
t_n491	787.434	43.63	1935.56	0
