Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4477.791	4366.66	4518.91	U(4.520,1e-300)
t_n248_LUCA	4382.392	4196.82	4495.38	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	4113.096	3742.15	4379.73	0
t_n250	3973.272	3538.31	4303.01	0
t_n251	3085.233	1837.01	3962.61	0
t_n252	1975.388	819.05	3267.82	0
t_n253	3510.718	3007.79	3963.13	0
t_n254	3389.262	2885.9	3855.69	0
t_n255	3304.759	2779.19	3789.81	0
t_n256	3198.117	2647.53	3704.65	0
t_n257	2666.091	1558.92	3457.84	0
t_n258	1037.007	354.4	2093.15	0
t_n259	382.415	63.46	1014.15	0
t_n260	2973.109	2334.01	3549.25	0
t_n261	1949.628	1206.88	2722.11	0
t_n262	1501.495	742.29	2348.28	0
t_n263	1328.981	593.73	2178.78	0
t_n264	462.525	18.84	1325.32	0
t_n265	2494.414	1554.55	3263.42	0
t_n266	1963.47	887.04	2963.54	0
t_n267	2973.088	2430.92	3513.11	0
t_n268_TG-EUKARYA-ARCH	2695.644	2175.78	3259.93	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1823.718	1632.41	1934.42	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1656.217	1274.02	1875.55	0
t_n271	1413.2	896.9	1782.38	0
t_n272_FUNGI	900.5	447.11	1441.48	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	600.314	183.38	1155.22	0
t_n274_METAZOA	594.482	575.89	609.21	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	574.493	561.72	590.21	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	387.767	82.13	569.98	0
t_n277	526.601	138.23	1143.62	0
t_n278	1752.236	1524.38	1896.96	0
t_n279	1681.567	1431.68	1858.38	0
t_n280_ARCHAEPLASTIDA	1493.675	1200.2	1742.81	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1411.593	1082	1691.06	0
t_n282	1310.37	947.07	1627.91	0
t_n283_EMBRYOPHYTA	472.823	432.56	515.25	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	196.255	130.21	248.23	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	1138.026	600.18	1542.81	0
