Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4474.633	4355.44	4518.82	U(4.520,1e-300)
t_n248_LUCA	4238.878	4012.84	4402.47	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3745.77	3350.49	4077.37	0
t_n250	3691.298	3289.83	4033.38	0
t_n251	2652.941	870.88	3802.75	0
t_n252	1492.192	298.05	3177.39	0
t_n253	3615.318	3203.14	3970.75	0
t_n254	3366.707	2924.02	3768.49	0
t_n255	3112.546	2556.18	3595.59	0
t_n256	2847.681	2241.66	3394.98	0
t_n257	2052.062	1189.29	2863.87	0
t_n258	767.619	244.25	1576.27	0
t_n259	429.97	63.1	1127.03	0
t_n260	2558.416	1899.07	3170.08	0
t_n261	1844.986	1106.23	2605.02	0
t_n262	1372.14	561.46	2250.22	0
t_n263	959.565	286.58	1852.59	0
t_n264	600.544	93.14	1445.21	0
t_n265	1902.182	981.19	2752.38	0
t_n266	795.862	37.87	2002.12	0
t_n267	3182.267	2700.61	3621.28	0
t_n268_TG-EUKARYA-ARCH	2803.1	2270.55	3318.98	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1821.275	1626.22	1933.6	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1655.456	1279.33	1876.7	0
t_n271	1325.918	879.36	1725.51	0
t_n272_FUNGI	886.934	467.06	1384.14	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	463.501	57.45	1044.68	0
t_n274_METAZOA	595.877	576.55	609.4	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	574.084	561.68	590.15	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	335.564	94.6	548.64	0
t_n277	558.714	153.19	1181.65	0
t_n278	1687.105	1430.13	1867.93	0
t_n279	1566.391	1289.09	1793.6	0
t_n280_ARCHAEPLASTIDA	1465.003	1173.79	1721.69	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1191.714	796.51	1560.75	0
t_n282	834.873	549.56	1209.55	0
t_n283_EMBRYOPHYTA	472.699	432.56	515.22	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	214.255	144.42	250.44	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	714.534	405.97	1096.52	0
t_n286	227.575	46.29	527.73	0
t_n287	1169.211	769.23	1538.29	0
t_n288	716.462	105.6	1341.86	0
t_n289	1363.645	954.21	1689.08	0
t_n290	1038.075	530.89	1510.17	0
t_n291	583.921	221.67	1030.51	0
t_n292_CG-FORAMINIFERA	871.369	537.09	1399.02	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	912.269	365.33	1476.94	0
t_n294	2297.268	1383.2	3047.73	0
t_n295	769.867	40.8	1970.65	0
t_n296	2775.695	2057.26	3374.34	0
t_n297	2537.861	1735.94	3218.35	0
t_n298	2187.321	1268.51	2993.81	0
t_n299	814.796	45.84	2025.05	0
t_n300	2834.73	1662.87	3757.37	0
t_n301	2531.871	1391.15	3556.41	0
t_n302	1617.722	459.86	2964.98	0
t_n303	2033.301	966.26	3168.1	0
t_n304	3840.899	3464.61	4162.85	0
t_n305	3725.812	3310.12	4088.62	0
t_n306	2446.253	839.45	3768.68	0
t_n307	3511.38	3092.59	3939.48	0
t_n308_TG-OXYPHOTOBACTERIA	3271.453	2960.26	3746.58	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n309_CG-OXYPHOTOBACTERIA	2558.136	2020.07	3231.35	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n310	2064.866	1506.03	2807.86	0
t_n311	1853.197	1368.52	2581.38	0
t_n312_ARCHAEPLASTIDA-DUP1	1465.003	1173.79	1721.69	[#6]
t_n313	834.873	549.56	1209.55	0
t_n314_EMBRYOPHYTA-DUP1	472.699	432.56	515.22	[#5]
t_n315_EUDICOT-MONOCOT-DUP1	214.255	144.42	250.44	[#4]
t_n316	714.534	405.97	1096.52	0
t_n317	227.575	46.29	527.73	0
t_n318	1169.211	769.23	1538.29	0
t_n319	909.568	426.76	1382.04	0
t_n320	583.921	221.67	1030.51	0
t_n321	577.145	35.75	1262.43	0
t_n322	1176.215	481.67	1974.57	0
t_n323	681.402	167.57	1452.88	0
t_n324	402.802	46.89	1080.09	0
t_n325	715.836	90.96	1583.96	0
t_n326	635.951	80.55	1985.07	0
t_n327	3777.801	3384.15	4115.82	0
t_n328	3162.139	2323.4	3836.06	0
t_n329_TG-EUKARYA-MITO	2824.898	1991.15	3632.29	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n330	1655.456	1279.33	1876.7	0
t_n331	1325.918	879.36	1725.51	0
t_n332_FUNGI-DUP1	886.934	467.06	1384.14	[#2]
