Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4485.318	4394.73	4519.1	U(4.520,1e-300)
t_n248_LUCA	4356.543	4241.45	4439.17	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3564.235	3311.67	3785.58	0
t_n250	3524.901	3267.94	3751.68	0
t_n251	2805.063	2194.55	3263.47	0
t_n252	2516.446	1887.09	3026.82	0
t_n253	3507.44	3246.35	3737.61	0
t_n254	2799.154	2502.27	3087.19	0
t_n255	2736.269	2432.98	3032.2	0
t_n256	2696.561	2390.81	2995.43	0
t_n257	2005.446	1453.33	2469.32	0
t_n258	1067.141	570.92	1623.03	0
t_n259	487.374	210.12	899.3	0
t_n260	2374.05	2054.22	2690.94	0
t_n261	2133.665	1798.3	2467.07	0
t_n262	1995.54	1620.65	2355.84	0
t_n263	1239.561	780.34	1700.03	0
t_n264	441.161	19.81	1144.79	0
t_n265	2152.701	1806.71	2493.04	0
t_n266	1444.164	920.59	1934.98	0
t_n267	2583.257	2286.09	2879.98	0
t_n268_TG-EUKARYA-ARCH	2365.439	2036.37	2700.95	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1414.616	1206.29	1678.25	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1109.052	895.27	1370.76	0
t_n271	913.003	732.16	1163.42	0
t_n272_FUNGI	578.237	419.56	788.3	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	386.799	255.12	561.56	0
t_n274_METAZOA	600.455	581.55	610.02	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	570.756	561.42	587.94	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	465.728	367.81	540.73	0
t_n277	445.839	242.73	701.74	0
t_n278	1352.98	1157.23	1606.29	0
t_n279	1286.245	1104.02	1529.26	0
t_n280_ARCHAEPLASTIDA	1180.519	1040.05	1398.55	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	983.983	778.53	1237.72	0
t_n282	849.878	696.98	1050.75	0
t_n283_EMBRYOPHYTA	477.864	433.62	515.83	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	221.202	165.7	250.75	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	772.469	619.54	967.41	0
t_n286	400.141	278.93	549.68	0
t_n287	925.028	763.89	1130.1	0
t_n288	462.758	22.56	952.2	0
t_n289	1063.042	795.33	1352.48	0
t_n290	830.839	505.39	1187.53	0
t_n291	598.375	370.25	839.24	0
t_n292_CG-FORAMINIFERA	860.258	610.62	1125.93	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	489.722	259.07	787.27	0
t_n294	2076.31	1679.67	2434.6	0
t_n295	1606.31	1095.71	2065.85	0
t_n296	2409.079	1948.52	2786.6	0
t_n297	2310.937	1907.17	2672.37	0
t_n298	564.333	221.82	1057.29	0
t_n299	272.371	15.49	765.98	0
t_n300	3464.681	3175.44	3715.65	0
t_n301	3347.736	2954.35	3651.17	0
t_n302	2406.763	1494.17	3059.16	0
t_n303	2241.266	1436.06	2863.89	0
t_n304	3350.309	3175.36	3554.49	0
t_n305	3315.786	3144.84	3520.56	0
t_n306	2824.82	2332.67	3185.25	0
t_n307	3207.302	3044.66	3417.03	0
t_n308_TG-OXYPHOTOBACTERIA	3058.567	2949.22	3268.32	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n309_CG-OXYPHOTOBACTERIA	2372.795	2076.51	2675.13	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n310	2194.8	1890.32	2514.32	0
t_n311	2142.894	1835.48	2467.88	0
t_n312_ARCHAEPLASTIDA-DUP1	1180.519	1040.05	1398.55	[#6]
t_n313	849.878	696.98	1050.75	0
t_n314_EMBRYOPHYTA-DUP1	477.864	433.62	515.83	[#5]
t_n315_EUDICOT-MONOCOT-DUP1	221.202	165.7	250.75	[#4]
t_n316	772.469	619.54	967.41	0
t_n317	400.141	278.93	549.68	0
t_n318	925.028	763.89	1130.1	0
t_n319	762.069	492.29	1019.35	0
t_n320	598.375	370.25	839.24	0
t_n321	462.014	23.04	949.81	0
t_n322	1401.257	941.69	1851.37	0
t_n323	1028.464	621.28	1487.59	0
t_n324	638.644	361.63	994.66	0
t_n325	702.276	33.68	1524.36	0
t_n326	1145.246	438.66	1974.12	0
t_n327	3292.742	3083.56	3510.47	0
t_n328	2687.8	2257.64	3066.28	0
t_n329_TG-EUKARYA-MITO	1495.116	1245.52	1823.86	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n330	1109.052	895.27	1370.76	0
t_n331	913.003	732.16	1163.42	0
t_n332_FUNGI-DUP1	578.237	419.56	788.3	[#2]
t_n333_METAZOA	600.455	581.55	610.02	[#13]
t_n334_EUMETAZOA-DUP1	570.756	561.42	587.94	[#3]
t_n335	465.728	367.81	540.73	0
t_n336	445.839	242.73	701.74	0
t_n337	1230.295	1064.4	1473.88	0
t_n338_ARCHAEPLASTIDA-DUP2	1180.519	1040.05	1398.55	[#6]
t_n339	849.878	696.98	1050.75	0
t_n340_EMBRYOPHYTA-DUP2	477.864	433.62	515.83	[#5]
t_n341_EUDICOT-MONOCOT-DUP2	221.202	165.7	250.75	[#4]
t_n342	772.469	619.54	967.41	0
t_n343	400.141	278.93	549.68	0
t_n344	925.028	763.89	1130.1	0
t_n345	615.863	30.55	1249.75	0
t_n346	2168.01	1668.96	2608.72	0
t_n347	1683.083	1118.21	2210.47	0
t_n348	1591.89	1115.69	2052.09	0
t_n349	1285.613	807.46	1791.43	0
t_n350	3214.864	2985.06	3445.75	0
t_n351	3094.507	2805.25	3353.04	0
t_n352	2991.718	2669.31	3273.36	0
t_n353	2600.675	2229.08	2936.69	0
t_n354	2247.145	1838.83	2622.18	0
t_n355	1814.921	1301.23	2285.73	0
t_n356	2002.429	1538.96	2430.35	0
t_n357	1770.32	1316.02	2207.45	0
t_n358	1532.043	1054.32	2007.44	0
t_n359	1588.301	1106.18	2061.79	0
t_n360	728.817	38.42	1607.19	0
t_n361	1403.526	884.8	1921.47	0
t_n362	1225.249	768.38	1712.45	0
t_n363	493.728	23.7	1218.9	0
t_n364	1511.723	980.58	2036.13	0
t_n365	2688.918	2268.84	3052.12	0
t_n366	2499.559	2033.73	2908.92	0
t_n367	1984.724	1536.89	2408.33	0
t_n368_LUCA-DUP	4356.543	4241.45	4439.17	[#1]
t_n369	3350.309	3175.36	3554.49	0
t_n370	3292.742	3083.56	3510.47	0
t_n371	3214.864	2985.06	3445.75	0
t_n372	3168.998	2918.13	3412.14	0
t_n373	2987.794	2639.38	3291.29	0
t_n374	2625.892	2246.15	2975.87	0
t_n375	2472.547	2065.21	2849.16	0
t_n376	2367.893	1944.75	2760.89	0
t_n377	2111.253	1533.5	2595.28	0
t_n378	1984.724	1536.89	2408.33	0
t_n379	2247.145	1838.83	2622.18	0
t_n380	1814.921	1301.23	2285.73	0
t_n381	2448.639	1838.46	2934.5	0
t_n382	1975.318	1346.68	2532.14	0
t_n383	689.093	33.58	1698.8	0
t_n384	2921.249	2522.89	3248.55	0
t_n385	2415.043	1854.2	2863.56	0
t_n386	1567.714	966.67	2148.91	0
t_n387	672.831	37.9	1639.8	0
t_n388	2944.143	2495.99	3281.57	0
t_n389	1433.139	82.8	2855.83	0
t_n390	2687.8	2257.64	3066.28	0
t_n391_TG-EUKARYA-MITO-DUP	1495.116	1245.52	1823.86	[#8]
t_n392	1311.763	1117.74	1582.79	0
t_n393	1109.052	895.27	1370.76	0
t_n394	913.003	732.16	1163.42	0
t_n395_FUNGI-DUP2	578.237	419.56	788.3	[#2]
t_n396	386.799	255.12	561.56	0
t_n397_METAZOA	600.455	581.55	610.02	[#13]
t_n398_EUMETAZOA-DUP2	570.756	561.42	587.94	[#3]
t_n399	465.728	367.81	540.73	0
t_n400	445.839	242.73	701.74	0
t_n401	1230.295	1064.4	1473.88	0
t_n402_ARCHAEPLASTIDA-DUP3	1180.519	1040.05	1398.55	[#6]
t_n403	849.878	696.98	1050.75	0
t_n404_EMBRYOPHYTA-DUP3	477.864	433.62	515.83	[#5]
t_n405_EUDICOT-MONOCOT-DUP3	221.202	165.7	250.75	[#4]
t_n406	772.469	619.54	967.41	0
t_n407	400.141	278.93	549.68	0
t_n408	925.028	763.89	1130.1	0
t_n409	705.987	505.02	924.56	0
t_n410	598.375	370.25	839.24	0
t_n411	1259.628	985.92	1587.88	0
t_n412	489.722	259.07	787.27	0
t_n413_CG-FORAMINIFERA-DUP1	860.258	610.62	1125.93	[#11]
t_n414	2257.808	1592.47	2858.88	0
t_n415	1683.083	1118.21	2210.47	0
t_n416	1591.89	1115.69	2052.09	0
t_n417	1285.613	807.46	1791.43	0
t_n418	3315.786	3144.84	3520.56	0
t_n419	2824.82	2332.67	3185.25	0
t_n420	2322.461	1629.13	2854.71	0
t_n421	3207.302	3044.66	3417.03	0
t_n422_TG-OXYPHOTOBACTERIA-DUP	3058.567	2949.22	3268.32	[#10]
t_n423_CG-OXYPHOTOBACTERIA-DUP	2372.795	2076.51	2675.13	[#9]
t_n424	2194.8	1890.32	2514.32	0
t_n425	2142.894	1835.48	2467.88	0
t_n426_ARCHAEPLASTIDA-DUP4	1180.519	1040.05	1398.55	[#6]
t_n427	849.878	696.98	1050.75	0
t_n428	772.469	619.54	967.41	0
t_n429	400.141	278.93	549.68	0
t_n430_EMBRYOPHYTA-DUP4	477.864	433.62	515.83	[#5]
t_n431	925.028	763.89	1130.1	0
t_n432	821.651	570.81	1055.62	0
t_n433	586.836	354.61	839.16	0
t_n434	1401.257	941.69	1851.37	0
t_n435	1028.464	621.28	1487.59	0
t_n436	638.644	361.63	994.66	0
t_n437	1145.246	438.66	1974.12	0
t_n438	3564.235	3311.67	3785.58	0
t_n439	3524.901	3267.94	3751.68	0
t_n440	2805.063	2194.55	3263.47	0
t_n441	2516.446	1887.09	3026.82	0
t_n442	3507.44	3246.35	3737.61	0
t_n443	2799.154	2502.27	3087.19	0
t_n444	2736.269	2432.98	3032.2	0
t_n445	2696.561	2390.81	2995.43	0
t_n446	2374.05	2054.22	2690.94	0
t_n447	2133.665	1798.3	2467.07	0
t_n448	1972.089	1581.65	2342.5	0
t_n449	1829.126	1385.65	2240.09	0
t_n450	2152.701	1806.71	2493.04	0
t_n451	1444.164	920.59	1934.98	0
t_n452	2005.446	1453.33	2469.32	0
t_n453	1067.141	570.92	1623.03	0
t_n454	487.374	210.12	899.3	0
t_n455	2583.257	2286.09	2879.98	0
t_n456_TG-EUKARYA-ARCH-DUP	2365.439	2036.37	2700.95	[#7]
t_n457_LECA-DUP	1414.616	1206.29	1678.25	[#12]
t_n458	1109.052	895.27	1370.76	0
t_n459	913.003	732.16	1163.42	0
t_n460_FUNGI-DUP	578.237	419.56	788.3	[#2]
t_n461	386.799	255.12	561.56	0
t_n462_METAZOA	600.455	581.55	610.02	[#13]
t_n463_EUMETAZOA-DUP3	570.756	561.42	587.94	[#3]
t_n464	465.728	367.81	540.73	0
t_n465	445.839	242.73	701.74	0
t_n466	1352.98	1157.23	1606.29	0
t_n467	1286.245	1104.02	1529.26	0
t_n468_ARCHAEPLASTIDA-DUP5	1180.519	1040.05	1398.55	[#6]
t_n469	983.983	778.53	1237.72	0
t_n470	849.878	696.98	1050.75	0
t_n471_EMBRYOPHYTA-DUP5	477.864	433.62	515.83	[#5]
t_n472_EUDICOT-MONOCOT-DUP4	221.202	165.7	250.75	[#4]
t_n473	772.469	619.54	967.41	0
t_n474	400.141	278.93	549.68	0
t_n475	925.028	763.89	1130.1	0
t_n476	462.758	22.56	952.2	0
t_n477	1063.042	795.33	1352.48	0
t_n478	830.839	505.39	1187.53	0
t_n479	598.375	370.25	839.24	0
t_n480_CG-FORAMINIFERA-DUP2	860.258	610.62	1125.93	[#11]
t_n481	489.722	259.07	787.27	0
t_n482	2076.31	1679.67	2434.6	0
t_n483	1606.31	1095.71	2065.85	0
t_n484	2409.079	1948.52	2786.6	0
t_n485	2310.937	1907.17	2672.37	0
t_n486	564.333	221.82	1057.29	0
t_n487	272.371	15.49	765.98	0
t_n488	3464.681	3175.44	3715.65	0
t_n489	3371.591	3035.47	3653.89	0
t_n490	2406.763	1494.17	3059.16	0
t_n491	2241.266	1436.06	2863.89	0
