Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4472.839	4347.23	4518.74	U(4.520,1e-300)
t_n248_LUCA	4425.651	4262.33	4508.19	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	4293.041	3935.54	4476.64	0
t_n250	4136.449	3652.86	4421.99	0
t_n251	2758.021	643.24	4180.59	0
t_n252	1377.204	50.61	3497.07	0
t_n253	3967.811	3397.49	4346.27	0
t_n254	3798.631	3169.29	4254.04	0
t_n255	3545.251	2752.65	4124.13	0
t_n256	3291.351	2404.56	3972.32	0
t_n257	2470.227	931	3636.91	0
t_n258	1647.671	306.38	3143.61	0
t_n259	826.11	27.49	2385.76	0
t_n260	2962.553	1954.6	3779.25	0
t_n261	2539.064	1397.71	3518.69	0
t_n262	1904.581	645.84	3130.77	0
t_n263	1268.652	219.72	2630.62	0
t_n264	634.194	19.92	1921.81	0
t_n265	1975.012	446.78	3344.51	0
t_n266	985.936	37.14	2618.98	0
t_n267	3383.976	2484.09	4060.33	0
t_n268_TG-EUKARYA-ARCH	2677.588	1890.96	3398.03	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1831.39	1638.24	1943.02	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1556.32	986.24	1870.9	0
t_n271	1230.031	669.03	1749.39	0
t_n272_FUNGI	885.344	422.88	1528.53	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	443.342	19.85	1170.98	0
t_n274_METAZOA	593.953	575.73	609.12	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	574.917	561.77	590.34	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	286.993	14.24	560.2	0
t_n277	778.212	36.57	1654.78	0
t_n278	1736.891	1465.6	1898.41	0
t_n279	1637.7	1325.58	1850.33	0
t_n280_ARCHAEPLASTIDA	1507.884	1150.78	1783.76	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1237.171	708.74	1665	0
t_n282	966.711	512.39	1500.18	0
t_n283_EMBRYOPHYTA	473.63	432.6	515.43	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	187.737	128.06	247.19	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	644.376	136.76	1267.84	0
t_n286	321.862	11.43	942.51	0
t_n287	1330.923	871.25	1693.04	0
t_n288	664.993	32.68	1436.82	0
t_n289	1338.635	786.17	1744.67	0
t_n290	831.197	168.53	1517.15	0
t_n291	324.226	10.48	949.54	0
t_n292_CG-FORAMINIFERA	915.403	538.18	1502.56	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	812.073	38.29	1704.1	0
t_n294	1785.148	405.97	3060.72	0
t_n295	891.938	32.89	2390.44	0
t_n296	2708.24	1293.48	3762.24	0
t_n297	2031.9	635.71	3368.25	0
t_n298	1355.122	225.78	2839.99	0
t_n299	677.042	21.6	2083.34	0
t_n300	3577.087	2055.38	4356.65	0
t_n301	2500.695	780.09	4001.09	0
t_n302	1072.067	41.91	2858.37	0
t_n303	1072.181	42.26	2867.44	0
t_n304	4354.432	4125.42	4485.12	0
t_n305	4079.563	3502.84	4417.23	0
t_n306	2720.602	637.38	4158.61	0
t_n307	3767.772	3165.63	4284.27	0
t_n308_TG-OXYPHOTOBACTERIA	3434.356	2977.02	4037.75	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n309_CG-OXYPHOTOBACTERIA	2985.572	2236.34	3459.02	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n310	2620.868	1814.75	3313.13	0
t_n311	2257.449	1516.88	3084.58	0
t_n312_ARCHAEPLASTIDA-DUP1	1507.884	1150.78	1783.76	[#6]
t_n313	966.711	512.39	1500.18	0
t_n314_EMBRYOPHYTA-DUP1	473.63	432.6	515.43	[#5]
t_n315_EUDICOT-MONOCOT-DUP1	187.737	128.06	247.19	[#4]
t_n316	644.376	136.76	1267.84	0
t_n317	321.862	11.43	942.51	0
t_n318	1330.923	871.25	1693.04	0
t_n319	826.748	169.08	1474.71	0
t_n320	324.226	10.48	949.54	0
t_n321	667.016	32.65	1435.94	0
t_n322	1806.037	815.13	2786.58	0
t_n323	1205.539	244.05	2354.86	0
t_n324	601.236	20.75	1739.27	0
t_n325	902.69	41.65	2198.62	0
t_n326	1885.4	96.75	3810.71	0
t_n327	4262.79	3955	4449.45	0
t_n328	3959.274	3209.5	4365.84	0
t_n329_TG-EUKARYA-MITO	3481.053	2433.78	4203.06	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n330	1556.32	986.24	1870.9	0
t_n331	1230.031	669.03	1749.39	0
t_n332_FUNGI-DUP1	885.344	422.88	1528.53	[#2]
t_n333_METAZOA	593.953	575.73	609.12	[#13]
t_n334_EUMETAZOA-DUP1	574.917	561.77	590.34	[#3]
t_n335	286.993	14.24	560.2	0
t_n336	778.212	36.57	1654.78	0
t_n337	2277.716	1445.73	3461.25	0
t_n338_ARCHAEPLASTIDA-DUP2	1507.884	1150.78	1783.76	[#6]
t_n339	966.711	512.39	1500.18	0
t_n340_EMBRYOPHYTA-DUP2	473.63	432.6	515.43	[#5]
t_n341_EUDICOT-MONOCOT-DUP2	187.737	128.06	247.19	[#4]
t_n342	644.376	136.76	1267.84	0
t_n343	321.862	11.43	942.51	0
t_n344	1330.923	871.25	1693.04	0
t_n345	1137.498	53.15	2701.82	0
t_n346	2969.537	1302.05	4116.55	0
t_n347	1319.633	60.07	3175.66	0
t_n348	1758.616	341.72	3360.21	0
t_n349	880.039	29.94	2546.93	0
t_n350	4137.26	3723.85	4397.9	0
t_n351	3884.288	3197.32	4305.8	0
t_n352	3632.471	2825.58	4184.06	0
t_n353	3328.497	2395.38	4024.02	0
t_n354	1941.477	435.21	3292.38	0
t_n355	970.564	36.03	2591.57	0
t_n356	2996.455	1957.65	3830.63	0
t_n357	2621.224	1500.11	3596.4	0
t_n358	1314.321	62.71	2958.2	0
t_n359	2182.661	1032.11	3290.07	0
t_n360	1092.749	47.81	2617.41	0
t_n361	1636.922	507.65	2879.81	0
t_n362	1091.347	181.38	2365.8	0
t_n363	545.297	16.78	1710.93	0
t_n364	1499.839	73.15	3233.44	0
t_n365	2635.83	941.45	3866.66	0
t_n366	1636.623	286.59	3270.88	0
t_n367	641.037	22.34	1888.12	0
t_n368_LUCA-DUP	4425.651	4262.33	4508.19	[#1]
t_n369	4354.432	4125.42	4485.12	0
t_n370	4262.79	3955	4449.45	0
t_n371	4137.26	3723.85	4397.9	0
t_n372	3879.891	3178.82	4304.99	0
t_n373	3530.419	2583.68	4158.06	0
t_n374	3037.179	1858.5	3928.64	0
t_n375	2369.381	990.17	3577.74	0
t_n376	1699.452	475.21	3083.11	0
t_n377	852.299	32.9	2339.19	0
t_n378	641.037	22.34	1888.12	0
t_n379	1941.477	435.21	3292.38	0
t_n380	970.564	36.03	2591.57	0
t_n381	2645.685	986.5	3847.99	0
t_n382	1763.782	323.71	3350.8	0
t_n383	884.01	29.65	2558.28	0
t_n384	3103.42	1508.5	4082.67	0
t_n385	2327.335	743.42	3724.4	0
t_n386	1550.212	258.5	3173.88	0
t_n387	774.306	24.05	2351.34	0
t_n388	2760.107	653.33	4159.06	0
t_n389	1381.806	51.89	3497.94	0
t_n390	3959.274	3209.5	4365.84	0
t_n391_TG-EUKARYA-MITO-DUP	3481.053	2433.78	4203.06	[#8]
t_n392	2884.942	1845.03	3912.05	0
t_n393	1556.32	986.24	1870.9	0
t_n394	1230.031	669.03	1749.39	0
t_n395_FUNGI-DUP2	885.344	422.88	1528.53	[#2]
t_n396	443.342	19.85	1170.98	0
t_n397_METAZOA	593.953	575.73	609.12	[#13]
t_n398_EUMETAZOA-DUP2	574.917	561.77	590.34	[#3]
t_n399	286.993	14.24	560.2	0
t_n400	778.212	36.57	1654.78	0
t_n401	2277.716	1445.73	3461.25	0
t_n402_ARCHAEPLASTIDA-DUP3	1507.884	1150.78	1783.76	[#6]
t_n403	966.711	512.39	1500.18	0
t_n404_EMBRYOPHYTA-DUP3	473.63	432.6	515.43	[#5]
t_n405_EUDICOT-MONOCOT-DUP3	187.737	128.06	247.19	[#4]
t_n406	644.376	136.76	1267.84	0
t_n407	321.862	11.43	942.51	0
t_n408	1330.923	871.25	1693.04	0
t_n409	664.983	32.68	1433.62	0
t_n410	324.226	10.48	949.54	0
t_n411	2285.695	936.9	3748.91	0
t_n412	812.073	38.29	1704.1	0
t_n413_CG-FORAMINIFERA-DUP1	915.403	538.18	1502.56	[#11]
t_n414	2970.268	1311.08	4115.64	0
t_n415	1319.633	60.07	3175.66	0
t_n416	1758.616	341.72	3360.21	0
t_n417	880.039	29.94	2546.93	0
t_n418	4079.563	3502.84	4417.23	0
t_n419	2720.602	637.38	4158.61	0
t_n420	1357.625	51.71	3453.36	0
t_n421	3767.772	3165.63	4284.27	0
t_n422_TG-OXYPHOTOBACTERIA-DUP	3434.356	2977.02	4037.75	[#10]
t_n423_CG-OXYPHOTOBACTERIA-DUP	2985.572	2236.34	3459.02	[#9]
t_n424	2620.868	1814.75	3313.13	0
t_n425	2257.449	1516.88	3084.58	0
t_n426_ARCHAEPLASTIDA-DUP4	1507.884	1150.78	1783.76	[#6]
t_n427	966.711	512.39	1500.18	0
t_n428	644.376	136.76	1267.84	0
t_n429	321.862	11.43	942.51	0
t_n430_EMBRYOPHYTA-DUP4	473.63	432.6	515.43	[#5]
t_n431	1330.923	871.25	1693.04	0
t_n432	887.75	201.84	1500.7	0
t_n433	442.804	16.23	1179.68	0
t_n434	1806.037	815.13	2786.58	0
t_n435	1205.539	244.05	2354.86	0
t_n436	601.236	20.75	1739.27	0
t_n437	1885.4	96.75	3810.71	0
t_n438	4293.041	3935.54	4476.64	0
t_n439	4136.449	3652.86	4421.99	0
t_n440	2758.021	643.24	4180.59	0
t_n441	1377.204	50.61	3497.07	0
t_n442	3967.811	3397.49	4346.27	0
t_n443	3798.631	3169.29	4254.04	0
t_n444	3545.251	2752.65	4124.13	0
t_n445	3291.351	2404.56	3972.32	0
t_n446	2962.553	1954.6	3779.25	0
t_n447	2539.064	1397.71	3518.69	0
t_n448	1691.584	358.06	3049.1	0
t_n449	844.216	30.3	2341.8	0
t_n450	1975.012	446.78	3344.51	0
t_n451	985.936	37.14	2618.98	0
t_n452	2470.227	931	3636.91	0
t_n453	1647.671	306.38	3143.61	0
t_n454	826.11	27.49	2385.76	0
t_n455	3383.976	2484.09	4060.33	0
t_n456_TG-EUKARYA-ARCH-DUP	2677.588	1890.96	3398.03	[#7]
t_n457_LECA-DUP	1831.39	1638.24	1943.02	[#12]
t_n458	1556.32	986.24	1870.9	0
t_n459	1230.031	669.03	1749.39	0
t_n460_FUNGI-DUP	885.344	422.88	1528.53	[#2]
t_n461	443.342	19.85	1170.98	0
t_n462_METAZOA	593.953	575.73	609.12	[#13]
t_n463_EUMETAZOA-DUP3	574.917	561.77	590.34	[#3]
t_n464	286.993	14.24	560.2	0
t_n465	778.212	36.57	1654.78	0
t_n466	1736.891	1465.6	1898.41	0
t_n467	1637.7	1325.58	1850.33	0
t_n468_ARCHAEPLASTIDA-DUP5	1507.884	1150.78	1783.76	[#6]
t_n469	1237.171	708.74	1665	0
t_n470	966.711	512.39	1500.18	0
t_n471_EMBRYOPHYTA-DUP5	473.63	432.6	515.43	[#5]
t_n472_EUDICOT-MONOCOT-DUP4	187.737	128.06	247.19	[#4]
t_n473	644.376	136.76	1267.84	0
t_n474	321.862	11.43	942.51	0
t_n475	1330.923	871.25	1693.04	0
t_n476	664.993	32.68	1436.82	0
t_n477	1338.635	786.17	1744.67	0
t_n478	831.197	168.53	1517.15	0
t_n479	324.226	10.48	949.54	0
t_n480_CG-FORAMINIFERA-DUP2	915.403	538.18	1502.56	[#11]
t_n481	812.073	38.29	1704.1	0
t_n482	1785.148	405.97	3060.72	0
t_n483	891.938	32.89	2390.44	0
t_n484	2708.24	1293.48	3762.24	0
t_n485	2031.9	635.71	3368.25	0
t_n486	1355.122	225.78	2839.99	0
t_n487	677.042	21.6	2083.34	0
t_n488	3577.087	2055.38	4356.65	0
t_n489	2507.065	784.31	3999.82	0
t_n490	1072.067	41.91	2858.37	0
t_n491	1072.181	42.26	2867.44	0
