Mean_time	Mean_qlow	Mean_qup	Priors
t_n242_ROOT	4472.934	4348.68	4518.8	U(4.520,1e-300)
t_n243_LUCA	4425.566	4262.03	4508.3	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n244	4293.019	3933.94	4476.47	0
t_n245	4137.498	3656.4	4422.89	0
t_n246	2761.009	648.36	4182.55	0
t_n247	1382.142	51.63	3508.66	0
t_n248	3969.637	3401.12	4347.53	0
t_n249	3800.007	3167.54	4254.22	0
t_n250	3546.539	2756.81	4124.77	0
t_n251	3294.076	2411.02	3977.82	0
t_n252	2471.415	923.39	3642.38	0
t_n253	1646.858	298.9	3145.51	0
t_n254	822.674	27.21	2384.88	0
t_n255	2966.056	1956.4	3790.91	0
t_n256	2543.808	1402.25	3527.95	0
t_n257	1903.979	643.93	3134.05	0
t_n258	1269.654	218.96	2624.58	0
t_n259	635.287	20.81	1926.16	0
t_n260	1977.029	445.46	3344.5	0
t_n261	985.476	36.87	2624.55	0
t_n262	3384.095	2488.02	4055.69	0
t_n263_TG-EUKARYA-ARCH	2674.872	1889.62	3397.77	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n264_LECA	1829.263	1631.87	1940.76	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n265	1554.353	988.9	1869.17	0
t_n266	1228.561	669.99	1745.33	0
t_n267_FUNGI	886.95	423.61	1530.97	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n268	443.52	19.6	1173.31	0
t_n269_METAZOA	594.005	575.73	609.14	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n270_EUMETAZOA	574.921	561.79	590.35	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n271	288.063	14.72	560.83	0
t_n272	774.569	38.08	1653.02	0
t_n273	1732.296	1459.31	1896.92	0
t_n274	1631.705	1317.48	1849.2	0
t_n275_ARCHAEPLASTIDA	1498.133	1140.86	1780.47	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n276	1230.101	703.01	1660.45	0
t_n277	960.893	510.6	1492.37	0
t_n278_EMBRYOPHYTA	473.788	432.56	515.47	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n279_EUDICOT-MONOCOT	187.759	128.13	247.12	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n280	641.411	132.45	1259.59	0
