Mean_time	Mean_qlow	Mean_qup	Priors
t_n242_ROOT	4489.068	4408.77	4519.21	U(4.520,1e-300)
t_n243_LUCA	4225.349	4112.82	4316.35	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n244	3395.831	3158.06	3612.08	0
t_n245	3325.251	3083.84	3548.11	0
t_n246	2844.796	2437.75	3175.42	0
t_n247	2589.368	2129.97	2970.65	0
t_n248	3084.23	2833.05	3324.83	0
t_n249	2639.835	2394.74	2888.09	0
t_n250	2519.657	2264.35	2777.84	0
t_n251	2479.537	2225.05	2738.09	0
t_n252	2148.525	1844.28	2445.18	0
t_n253	668.911	376.63	1025.34	0
t_n254	358.032	181.76	606.71	0
t_n255	2206.201	1937.5	2477.79	0
t_n256	1604.629	1290.46	1915.5	0
t_n257	1360.036	1031.51	1691.16	0
t_n258	975.567	663.02	1314.41	0
t_n259	743.074	382.42	1132.23	0
t_n260	1903.452	1606.96	2198.67	0
t_n261	1206.058	834.29	1582.35	0
t_n262	2393.395	2160.03	2636.59	0
t_n263_TG-EUKARYA-ARCH	2287.408	2060.28	2528.41	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n264_LECA	1279.151	1176.8	1409.93	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n265	1173.356	1060.71	1304.54	0
t_n266	971.127	863.74	1097.66	0
t_n267_FUNGI	589.541	477.84	712.44	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n268	392.054	290.41	506.61	0
t_n269_METAZOA	604.303	591.25	610.71	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n270_EUMETAZOA	567.369	561.29	581.15	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n271	454.599	381.7	515.56	0
t_n272	480.005	350.67	621.78	0
t_n273	1239.915	1140.31	1369.09	0
t_n274	1198.657	1104.5	1322.9	0
t_n275_ARCHAEPLASTIDA	1112.123	1035.97	1224.86	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n276	1027.314	932.26	1145.06	0
t_n277	822.778	740.66	921.7	0
t_n278_EMBRYOPHYTA	451.548	431.2	496.67	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n279_EUDICOT-MONOCOT	248.036	232.25	265.16	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n280	760.692	674.01	861.31	0
t_n281	286.955	219.48	364.26	0
t_n282	850.984	755	962.77	0
t_n283	707.712	554.17	852.83	0
t_n284	1072.712	964.84	1199.78	0
t_n285	993.544	837.15	1143.43	0
t_n286	663.46	531.35	796.76	0
t_n287_CG-FORAMINIFERA	584.887	525.08	697.17	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n288	489.57	354.52	639.04	0
t_n289	2050.997	1795.09	2309.82	0
