Calib;node;Prior
ROOT;237;'U(4.520,1e-300)'
LUCA;238;'[#1 B{3.3470,4.5200,1e-300,1e-300}]'
LUCA-DUP;351;'[#1]'
LECA;259;'[#12 B{1.0856,1.8796,0.0250,0.0250}]'
LECA-DUP;439;'[#12]'
TG-OXYPHOTOBACTERIA;297;'[#10 B{2.945,4.5200,1e-300,1e-300}]'
TG-OXYPHOTOBACTERIA-DUP;404;'[#10]'
CG-OXYPHOTOBACTERIA;298;'[#9 B{2.0136,3.4480,0.0250,0.0250}]'
CG-OXYPHOTOBACTERIA-DUP;405;'[#9]'
TG-EUKARYA-ARCH;258;'[#7 B{1.6191,3.4480,1e-300,1e-300}]'
TG-EUKARYA-ARCH-DUP;438;'[#7]'
TG-EUKARYA-MITO;316;'[#8 B{1.0856,4.5200,0.0250,1e-300}]'
TG-EUKARYA-MITO-DUP;373;'[#8]'
ARCHAEPLASTIDA;270;'[#6 B{1.0300,1.8796,1e-300,1e-300}]'
ARCHAEPLASTIDA-DUP1;301;'[#6]'
ARCHAEPLASTIDA-DUP2;325;'[#6]'
ARCHAEPLASTIDA-DUP3;384;'[#6]'
ARCHAEPLASTIDA-DUP4;408;'[#6]'
ARCHAEPLASTIDA-DUP5;450;'[#6]'
EMBRYOPHYTA;273;'[#5 B{0.4305,0.5155,1e-300,0.0250}]'
EMBRYOPHYTA-DUP1;303;'[#5]'
EMBRYOPHYTA-DUP3;386;'[#5]'
EMBRYOPHYTA-DUP4;412;'[#5]'
EMBRYOPHYTA-DUP5;453;'[#5]'
EUDICOT-MONOCOT;274;'[#4 B{0.1250,0.2472,1e-300,0.0250}]'
EUDICOT-MONOCOT-DUP3;387;'[#4]'
EUDICOT-MONOCOT-DUP4;454;'[#4]'
CG-FORAMINIFERA;282;'[#11 B{0.5225,1.8910,1e-300,1e-300}]'
CG-FORAMINIFERA-DUP1;395;'[#11]'
CG-FORAMINIFERA-DUP2;461;'[#11]'
FUNGI;262;'[#2 B{0.3921,1.8910,1e-300,0.0250}]'
FUNGI-DUP1;319;'[#2]'
FUNGI-DUP2;377;'[#2]'
FUNGI-DUP;442;'[#2]'
EUMETAZOA;265;'[#3 B{0.5611,0.5908,1e-300,0.0250}]'
EUMETAZOA-DUP1;321;'[#3]'
EUMETAZOA-DUP2;380;'[#3]'
EUMETAZOA-DUP3;445;'[#3]'
METAZOA;264;'[#13 B{0.5740,0.6090,1e-300,0.0250}]'
METAZOA;320;'[#13]'
METAZOA;379;'[#13]'
METAZOA;444;'[#13]'
