Mean_time	Mean_qlow	Mean_qup	Priors
t_n237_ROOT	4472.02	4345.64	4518.75	U(4.520,1e-300)
t_n238_LUCA	4423.982	4259	4508.1	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n239	4287.97	3918.71	4475.69	0
t_n240	4131.873	3647.48	4420.61	0
t_n241	2751.712	641.33	4178.78	0
t_n242	1374.852	51.1	3490.58	0
t_n243	3963.065	3387.97	4345.88	0
t_n244	3794.698	3163.3	4250.01	0
t_n245	3541.53	2753.74	4124.21	0
t_n246	3288.84	2403.39	3973.89	0
t_n247	2463.501	924.82	3635.2	0
t_n248	1645.596	305.61	3141.65	0
t_n249	822.858	26.65	2384.23	0
t_n250	2959.685	1950.97	3780.4	0
t_n251	2536.852	1390.92	3520.46	0
t_n252	1902.605	642.2	3127.28	0
t_n253	1270.021	218.79	2622.41	0
t_n254	637.267	20.37	1934.54	0
t_n255	1971.74	453.23	3346.81	0
t_n256	988.143	37.08	2624.86	0
t_n257	3380.142	2486.11	4052.85	0
t_n258_TG-EUKARYA-ARCH	2675.638	1885.97	3397.46	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n259_LECA	1827.878	1628.96	1941.18	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n260	1553.59	987.51	1869.41	0
t_n261	1229.226	669.26	1746.87	0
t_n262_FUNGI	884.946	421.87	1530.39	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n263	441.392	19.35	1166.78	0
t_n264_METAZOA	593.922	575.7	609.14	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n265_EUMETAZOA	574.905	561.78	590.29	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n266	287.127	14.38	560.34	0
t_n267	775.997	37.56	1649.47	0
t_n268	1729.288	1451.59	1895.77	0
t_n269	1625.464	1305.15	1847.52	0
t_n270_ARCHAEPLASTIDA	1484.975	1127.34	1775.72	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n271	1218.676	698.19	1652.27	0
t_n272	951.86	509.43	1482.47	0
t_n273_EMBRYOPHYTA	473.55	432.55	515.45	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n274_EUDICOT-MONOCOT	187.672	128.18	247.2	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n275	633.993	133.73	1247.96	0
t_n276	315.685	10.71	920.28	0
t_n277	1281.241	789.58	1673.51	0
t_n278	639.776	29.81	1402.99	0
t_n279	1345.246	807.26	1743.74	0
t_n280	885.796	195.55	1537.84	0
t_n281	427.36	15.34	1131.17	0
t_n282_CG-FORAMINIFERA	917.003	539.44	1500.3	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n283	813.374	39.59	1701.29	0
t_n284	1785.223	408.72	3060.03	0
t_n285	894.6	32.32	2393.64	0
t_n286	2704.094	1291.37	3764.66	0
t_n287	2029.813	635.52	3363.63	0
t_n288	1352.294	222.45	2824.78	0
t_n289	676.418	21.6	2071.15	0
t_n290	3429.198	1700.25	4340.96	0
t_n291	2142.331	398.39	3897.52	0
t_n292	858.132	26.51	2586.82	0
t_n293	4351.83	4120.88	4484.85	0
t_n294	4076.651	3497.27	4416.68	0
t_n295	2714.914	640.61	4155.08	0
t_n296	3766.733	3170.39	4283.95	0
t_n297_TG-OXYPHOTOBACTERIA	3433.448	2976.53	4037.48	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n298_CG-OXYPHOTOBACTERIA	2983.89	2230.83	3458.87	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n299	2618.103	1803.02	3309.61	0
t_n300	2252.753	1499.53	3078.29	0
t_n301_ARCHAEPLASTIDA-DUP1	1484.975	1127.34	1775.72	[#6]
t_n302	951.86	509.43	1482.47	0
t_n303_EMBRYOPHYTA-DUP1	473.55	432.55	515.45	[#5]
t_n304	633.993	133.73	1247.96	0
t_n305	315.685	10.71	920.28	0
t_n306	1281.241	789.58	1673.51	0
t_n307	427.36	15.34	1131.17	0
t_n308	640.096	31.12	1401.21	0
t_n309	1802.048	816.69	2786.3	0
t_n310	1201.736	239.27	2350.05	0
t_n311	600.093	20.61	1734.44	0
t_n312	899.923	39.97	2189.46	0
t_n313	1884.643	94.59	3800.46	0
t_n314	4258.644	3946.86	4448.88	0
t_n315	3955.129	3202.05	4362.84	0
t_n316_TG-EUKARYA-MITO	3474.425	2415.02	4197.4	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n317	1553.59	987.51	1869.41	0
t_n318	1229.226	669.26	1746.87	0
t_n319_FUNGI-DUP1	884.946	421.87	1530.39	[#2]
t_n320_METAZOA	593.922	575.7	609.14	[#13]
t_n321_EUMETAZOA-DUP1	574.905	561.78	590.29	[#3]
t_n322	287.127	14.38	560.34	0
t_n323	775.997	37.56	1649.47	0
t_n324	2261.428	1418.55	3453.94	0
