Mean_time	Mean_qlow	Mean_qup	Priors
t_n237_ROOT	4491.162	4415.07	4519.25	U(4.520,1e-300)
t_n238_LUCA	4220.534	4076.59	4340.1	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n239	3469.821	3214.53	3714.2	0
t_n240	3382.455	3127.19	3628.38	0
t_n241	2349.677	1583.52	3000.53	0
t_n242	2158.728	1412.12	2814.44	0
t_n243	3184.936	2932.49	3432.47	0
t_n244	2964.447	2720.1	3209.42	0
t_n245	2785.179	2525.92	3042.39	0
t_n246	2702.482	2443.73	2961.08	0
t_n247	1954.066	1505.16	2371.78	0
t_n248	604.313	411.3	858.06	0
t_n249	296.249	172.25	467.96	0
t_n250	2486.957	2216.58	2756.68	0
t_n251	2024.986	1709.26	2339.57	0
t_n252	1793.996	1444.76	2137.37	0
t_n253	1336.066	970.35	1715.96	0
t_n254	997.986	626.4	1408.47	0
t_n255	2054.825	1711.1	2382.2	0
t_n256	1008.172	666.84	1405.1	0
t_n257	2682.153	2434.48	2933	0
t_n258_TG-EUKARYA-ARCH	2565.395	2315.98	2819.44	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n259_LECA	1725.549	1559.96	1876.13	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n260	1499.455	1320.64	1678.38	0
t_n261	1313.104	1129.72	1500.38	0
t_n262_FUNGI	963.018	780.33	1156.02	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n263	729.113	549.07	924.58	0
t_n264_METAZOA	603.608	589.68	610.54	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n265_EUMETAZOA	568.282	561.33	582.96	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n266	445.41	363.21	510.3	0
t_n267	550.624	383.4	756	0
t_n268	1661.427	1496.73	1818.72	0
t_n269	1594.895	1436.04	1751.11	0
t_n270_ARCHAEPLASTIDA	1376.805	1240.28	1517.3	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n271	1208.881	1047.68	1373.22	0
t_n272	1017.433	884.51	1160.09	0
t_n273_EMBRYOPHYTA	478.883	434.27	515.86	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n274_EUDICOT-MONOCOT	222.748	171.17	250.89	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n275	868.136	728.93	1015.7	0
t_n276	311.199	209.65	435.71	0
t_n277	1069.35	913.34	1228.71	0
t_n278	897.931	678.54	1096.53	0
t_n279	1343.504	1157.68	1527.04	0
t_n280	1205.123	957.37	1431.95	0
t_n281	718.393	520.07	932.61	0
t_n282_CG-FORAMINIFERA	769.431	581.74	976.38	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n283	470.823	314.41	669.08	0
t_n284	2144.604	1792.49	2469.32	0
t_n285	1877.953	1485.3	2241.22	0
t_n286	2553.559	2252.3	2835.13	0
t_n287	2252.416	1886.5	2576.74	0
t_n288	525.552	323.87	809.3	0
t_n289	252.156	142.29	406.49	0
t_n290	3072.561	2617.51	3435.44	0
t_n291	2888.583	2369.15	3300.29	0
t_n292	2036.546	1345.43	2649.67	0
t_n293	3373.529	3225.59	3550.96	0
t_n294	3324.69	3183.42	3498.64	0
t_n295	3087.809	2755.86	3336.37	0
t_n296	3148.507	3041.23	3299.36	0
t_n297_TG-OXYPHOTOBACTERIA	2991.198	2946.25	3106.54	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n298_CG-OXYPHOTOBACTERIA	2155.899	1972.97	2426.01	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n299	1834.155	1628.12	2075.53	0
t_n300	1721.694	1525.55	1952.95	0
t_n301_ARCHAEPLASTIDA-DUP1	1376.805	1240.28	1517.3	[#6]
t_n302	1017.433	884.51	1160.09	0
t_n303_EMBRYOPHYTA-DUP1	478.883	434.27	515.86	[#5]
t_n304	868.136	728.93	1015.7	0
t_n305	311.199	209.65	435.71	0
t_n306	1069.35	913.34	1228.71	0
t_n307	718.393	520.07	932.61	0
t_n308	840.145	514.31	1098.22	0
t_n309	964.389	698.41	1287.09	0
t_n310	814.548	567.81	1124.46	0
t_n311	466.318	282.37	712.81	0
t_n312	796.701	475.23	1147.3	0
t_n313	478.456	269.73	784.12	0
t_n314	3331.311	3166.73	3515.75	0
t_n315	2383.62	2064.31	2732.7	0
t_n316_TG-EUKARYA-MITO	1822.793	1606.11	2075.12	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n317	1499.455	1320.64	1678.38	0
t_n318	1313.104	1129.72	1500.38	0
t_n319_FUNGI-DUP1	963.018	780.33	1156.02	[#2]
t_n320_METAZOA	603.608	589.68	610.54	[#13]
t_n321_EUMETAZOA-DUP1	568.282	561.33	582.96	[#3]
t_n322	445.41	363.21	510.3	0
t_n323	550.624	383.4	756	0
t_n324	1516.344	1346.59	1709.26	0
