Calib;node;Prior
ROOT;244;'U(4.520,1E-300)'
LUCA;245;'B(3.3470,4.5200,1E-300,1E-300)'
LECA;266;'B(1.0856,1.8796,0.0250,0.0250)'
TG-OXYPHOTOBACTERIA;304;'B(2.945,4.5200,1E-300,1E-300)'
CG-OXYPHOTOBACTERIA;305;'B(2.0136,3.4480,0.0250,0.0250)'
TG-EUKARYA-ARCH;265;'B(1.6191,3.4480,1E-300,1E-300)'
TG-EUKARYA-MITO;325;'B(1.0856,4.5200,0.0250,1e-300)'
ARCHAEPLASTIDA;277;'B(1.0300,1.8796,1E-300,1E-300)'
EMBRYOPHYTA;279;'B(0.4305,0.5155,1E-300,0.0250)'
EUDICOT-MONOCOT;280;'B(0.1250,0.2472,1E-300,0.0250)'
CG-FORAMINIFERA;288;'B(0.5225,1.8910,1E-300,1E-300)'
FUNGI;269;'B(0.3921,1.8910,1E-300,0.0250)'
EUMETAZOA;272;'B(0.5611,0.5908,1E-300,0.0250)'
METAZOA;271;'B(0.5740,0.6090,1E-300,0.0250)'
