Mean_time	Mean_qlow	Mean_qup	Priors
t_n244_ROOT	4491.964	4418.46	4519.28	U(4.520,1e-300)
t_n245_LUCA	4190.176	4030.1	4324.71	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n246	3456.983	3180.55	3720.03	0
t_n247	3359.922	3083.17	3627.07	0
t_n248	2686.051	1768.08	3259.57	0
t_n249	2421.902	1512.5	3047.08	0
t_n250	3141.98	2870.11	3410.95	0
t_n251	2963.237	2696.59	3229.16	0
t_n252	2713.408	2423.33	3001.46	0
t_n253	2601.613	2310.07	2893.32	0
t_n254	1935.003	1465.65	2367.1	0
t_n255	507.777	326.7	755.1	0
t_n256	271.762	147.54	449.41	0
t_n257	2426.472	2123.52	2728.54	0
t_n258	1848.563	1484.71	2213.25	0
t_n259	1450.228	1041.52	1866.44	0
t_n260	1293.387	890.54	1715.84	0
t_n261	959.166	566.61	1401.33	0
t_n262	1906.049	1516.16	2282.25	0
t_n263	927.215	582.55	1340.32	0
t_n264	2708.861	2440.5	2981.74	0
t_n265_TG-EUKARYA-ARCH	2504.4	2233.84	2782.43	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n266_LECA	1714.795	1530.18	1877.58	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n267	1558.706	1366.89	1742.19	0
t_n268	1261.263	1053.76	1473.37	0
t_n269_FUNGI	860.756	662.09	1075.95	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n270	673.625	478.82	890.97	0
t_n271_METAZOA	603.248	588.63	610.46	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n272_EUMETAZOA	568.251	561.32	583.12	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n273	426.655	314.51	514.33	0
t_n274	587.036	394.53	823.04	0
t_n275	1654.477	1468.07	1828.64	0
t_n276	1570.161	1390.31	1746.97	0
t_n277_ARCHAEPLASTIDA	1317.576	1164.14	1477.06	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n278	1021.307	871.48	1182.28	0
t_n279_EMBRYOPHYTA	469.826	432.43	514.32	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n280_EUDICOT-MONOCOT	236.191	201.23	254.65	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n281	880.479	722.2	1048.58	0
t_n282	188.787	114.75	286.66	0
t_n283	1040.037	874.42	1212.37	0
t_n284	835.779	597.39	1054.2	0
t_n285	1315.531	1107.59	1522.72	0
t_n286	1206.342	965.65	1437.42	0
t_n287	640.318	447.14	848.95	0
t_n288_CG-FORAMINIFERA	736.36	550.56	962.99	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n289	520.474	328.53	766.38	0
t_n290	2101.633	1714.34	2452.54	0
