Mean_time	Mean_qlow	Mean_qup	Priors
t_n244_ROOT	4472.881	4347.95	4518.82	U(4.520,1e-300)
t_n245_LUCA	4425.8	4261.85	4508.3	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n246	4294.077	3938.88	4476.32	0
t_n247	4137.9	3655.28	4421.13	0
t_n248	2761.948	652.05	4182.6	0
t_n249	1382.679	52.31	3501.74	0
t_n250	3969.06	3400.13	4346.41	0
t_n251	3800.403	3171.01	4253.09	0
t_n252	3546.7	2765.52	4126.67	0
t_n253	3294.531	2416.92	3976.07	0
t_n254	2473.646	937.31	3643.89	0
t_n255	1646.454	297.27	3152.54	0
t_n256	822.898	27.17	2387.13	0
t_n257	2966.554	1958.88	3781.89	0
t_n258	2542.821	1400.84	3527.17	0
t_n259	1907.476	647.8	3134.83	0
t_n260	1272.524	217.27	2631.99	0
t_n261	636.666	20.5	1928.38	0
t_n262	1975.115	437.56	3336.88	0
t_n263	985.136	36.54	2623.65	0
t_n264	3384.587	2492.85	4058.03	0
t_n265_TG-EUKARYA-ARCH	2678.338	1889.81	3398.51	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n266_LECA	1827.644	1628.54	1940.29	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n267	1552.499	985.94	1868.83	0
t_n268	1227.354	667.79	1746.42	0
t_n269_FUNGI	885.059	422.45	1526.57	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n270	442.634	19.6	1175.97	0
t_n271_METAZOA	593.92	575.74	609.11	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n272_EUMETAZOA	574.944	561.79	590.36	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n273	287.973	14.62	560.25	0
t_n274	776.253	37.25	1653.8	0
t_n275	1727.92	1446.78	1895.18	0
t_n276	1624.087	1300.36	1846.95	0
t_n277_ARCHAEPLASTIDA	1484.859	1124.98	1775.57	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n278	1139.546	563.3	1632.04	0
t_n279_EMBRYOPHYTA	474.02	432.68	515.49	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n280_EUDICOT-MONOCOT	187.72	128.12	247.31	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n281	758.886	157.76	1413.85	0
t_n282	380.884	12.95	1075.91	0
t_n283	1311.749	856.08	1682.94	0
t_n284	656.444	31.99	1416.49	0
t_n285	1329.406	782.89	1740.91	0
t_n286	825.394	164.72	1510.73	0
t_n287	321.666	10.7	942.05	0
t_n288_CG-FORAMINIFERA	909.314	538.34	1493	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n289	813.444	38.98	1700.04	0
t_n290	1785.188	408.35	3060.04	0
t_n291	892.86	32.49	2399.07	0
t_n292	2705.912	1278.4	3763.67	0
t_n293	2031.362	637.57	3367.33	0
t_n294	1351.454	220.64	2827.92	0
t_n295	672.55	20.8	2069.86	0
t_n296	3576.466	2049.03	4356.2	0
t_n297	2501.861	796.25	3998.94	0
t_n298	1071.734	42.57	2862.8	0
t_n299	1073.352	42.57	2869.14	0
t_n300	4354.688	4125.83	4485.18	0
t_n301	4080.149	3500.9	4417.55	0
t_n302	2729.109	656.64	4163.96	0
t_n303	3768.425	3168.6	4284.02	0
t_n304_TG-OXYPHOTOBACTERIA	3434.218	2976.99	4040.36	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n305_CG-OXYPHOTOBACTERIA	2984.698	2235.67	3459.18	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n306	2618.868	1805	3311.51	0
t_n307	2251.323	1497.44	3082.42	0
t_n308_ARCHAEPLASTIDA-DUP1	1484.859	1124.98	1775.57	[#6]
t_n309	1139.546	563.3	1632.04	0
t_n310_EMBRYOPHYTA-DUP1	474.02	432.68	515.49	[#5]
t_n311_EUDICOT-MONOCOT-DUP1	187.72	128.12	247.31	[#4]
t_n312	758.886	157.76	1413.85	0
t_n313	380.884	12.95	1075.91	0
t_n314	1311.749	856.08	1682.94	0
t_n315	816.753	168.07	1456.81	0
t_n316	321.666	10.7	942.05	0
t_n317	655.786	31.02	1418.7	0
t_n318	1800.408	819.02	2783.36	0
t_n319	1200.791	239.77	2345.14	0
t_n320	601.807	20.89	1735.07	0
t_n321	901.223	42.19	2188.76	0
t_n322	1883.138	96.15	3804.92	0
t_n323	4263.532	3959.36	4449.86	0
t_n324	3958.765	3208.26	4365.08	0
t_n325_TG-EUKARYA-MITO	3476.372	2414.26	4200.26	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n326	1552.499	985.94	1868.83	0
t_n327	1227.354	667.79	1746.42	0
t_n328_FUNGI-DUP1	885.059	422.45	1526.57	[#2]
t_n329_METAZOA	593.92	575.74	609.11	[#13]
t_n330_EUMETAZOA-DUP1	574.944	561.79	590.36	[#3]
t_n331	287.973	14.62	560.25	0
t_n332	776.253	37.25	1653.8	0
t_n333	2261.668	1417.65	3461.51	0
t_n334_ARCHAEPLASTIDA-DUP2	1484.859	1124.98	1775.57	[#6]
t_n335	1139.546	563.3	1632.04	0
t_n336_EMBRYOPHYTA-DUP2	474.02	432.68	515.49	[#5]
t_n337_EUDICOT-MONOCOT-DUP2	187.72	128.12	247.31	[#4]
t_n338	758.886	157.76	1413.85	0
t_n339	380.884	12.95	1075.91	0
t_n340	1311.749	856.08	1682.94	0
t_n341	1131.725	53.17	2687.63	0
t_n342	2969.611	1303.42	4113.44	0
t_n343	1316.9	58.14	3168.2	0
t_n344	1758.416	343.16	3358.14	0
t_n345	879.826	30.03	2546.3	0
t_n346	4138.12	3728.28	4397.94	0
t_n347	3887.027	3209.96	4304.67	0
t_n348	3637.096	2838.44	4189.57	0
t_n349	3331.326	2405.64	4029.37	0
t_n350	1944.442	442.38	3300.38	0
t_n351	969.805	35.08	2595.22	0
t_n352	2996.555	1960.77	3832.18	0
t_n353	2622.379	1508.26	3590.48	0
t_n354	1312.315	63.1	2956.06	0
t_n355	2183.689	1021.13	3282.74	0
t_n356	1090.087	49.23	2614.34	0
t_n357	1637.11	504.85	2877.57	0
t_n358	1090.015	175.53	2377.75	0
t_n359	545.202	17.02	1707.99	0
t_n360	1507.702	74.64	3242.5	0
t_n361	2638.421	949.26	3871.69	0
t_n362	1642.591	291.67	3277.24	0
t_n363	643.004	22.29	1894.13	0
t_n364_LUCA-DUP	4425.8	4261.85	4508.3	[#1]
t_n365	4354.688	4125.83	4485.18	0
t_n366	4263.532	3959.36	4449.86	0
t_n367	4138.12	3728.28	4397.94	0
t_n368	3879.449	3185.81	4303.45	0
t_n369	3529.071	2587.08	4158.36	0
t_n370	3037.872	1850.49	3925.32	0
t_n371	2371.644	1007.38	3572.28	0
t_n372	1703.215	480.89	3089.06	0
t_n373	846.251	32.55	2339.1	0
t_n374	643.004	22.29	1894.13	0
t_n375	1944.442	442.38	3300.38	0
t_n376	969.805	35.08	2595.22	0
t_n377	2644.51	997.08	3846.71	0
t_n378	1764.228	325.03	3348.97	0
t_n379	882.457	29.5	2555.95	0
t_n380	3100.135	1511.75	4083.12	0
t_n381	2326.821	732.09	3720.4	0
t_n382	1552.782	258.73	3179.49	0
t_n383	776.332	24.35	2354.68	0
t_n384	2759.079	651.45	4163.17	0
t_n385	1378.058	50.78	3501.9	0
t_n386	3958.765	3208.26	4365.08	0
t_n387_TG-EUKARYA-MITO-DUP	3476.372	2414.26	4200.26	[#8]
t_n388	2875.104	1826.06	3911.06	0
t_n389	1552.499	985.94	1868.83	0
t_n390	1227.354	667.79	1746.42	0
t_n391_FUNGI-DUP2	885.059	422.45	1526.57	[#2]
t_n392	442.634	19.6	1175.97	0
t_n393_METAZOA	593.92	575.74	609.11	[#13]
t_n394_EUMETAZOA-DUP2	574.944	561.79	590.36	[#3]
t_n395	287.973	14.62	560.25	0
t_n396	776.253	37.25	1653.8	0
t_n397	2261.668	1417.65	3461.51	0
t_n398_ARCHAEPLASTIDA-DUP3	1484.859	1124.98	1775.57	[#6]
t_n399	1139.546	563.3	1632.04	0
t_n400_EMBRYOPHYTA-DUP3	474.02	432.68	515.49	[#5]
t_n401_EUDICOT-MONOCOT-DUP3	187.72	128.12	247.31	[#4]
t_n402	758.886	157.76	1413.85	0
t_n403	380.884	12.95	1075.91	0
t_n404	1311.749	856.08	1682.94	0
t_n405	653.928	31.45	1419.45	0
t_n406	321.666	10.7	942.05	0
t_n407	2285.131	943.77	3745.83	0
t_n408	813.444	38.98	1700.04	0
t_n409_CG-FORAMINIFERA-DUP1	909.314	538.34	1493	[#11]
t_n410	2965.037	1302.99	4112.22	0
t_n411	1316.9	58.14	3168.2	0
t_n412	1758.416	343.16	3358.14	0
t_n413	879.826	30.03	2546.3	0
t_n414	4080.149	3500.9	4417.55	0
t_n415	2729.109	656.64	4163.96	0
t_n416	1366.874	52.06	3474.1	0
t_n417	3768.425	3168.6	4284.02	0
t_n418_TG-OXYPHOTOBACTERIA-DUP	3434.218	2976.99	4040.36	[#10]
t_n419_CG-OXYPHOTOBACTERIA-DUP	2984.698	2235.67	3459.18	[#9]
t_n420	2618.868	1805	3311.51	0
t_n421	2251.323	1497.44	3082.42	0
