Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4491.996	4418.95	4519.28	U(4.520,1e-300)
t_n248_LUCA	4285.106	4184.61	4363.36	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3335.661	3085.52	3562.95	0
t_n250	3259.715	3007.84	3492.66	0
t_n251	2808.564	2403.48	3140.11	0
t_n252	2497.609	2011.41	2903.27	0
t_n253	3015.473	2758.4	3262.72	0
t_n254	2630.637	2381.44	2884.27	0
t_n255	2485.877	2232.92	2744.8	0
t_n256	2416.499	2162.16	2677.4	0
t_n257	1772.442	1392.43	2119.13	0
t_n258	525.48	285.2	837.75	0
t_n259	287.382	144.32	495.9	0
t_n260	2218.441	1954.06	2489.65	0
t_n261	1726.649	1415.2	2033.42	0
t_n262	1551.686	1218.35	1878.65	0
t_n263	1122.361	773.9	1481.2	0
t_n264	874.906	537.79	1247.54	0
t_n265	1850.688	1547.18	2151.92	0
t_n266	892.322	557.26	1261.74	0
t_n267	2419.063	2182.14	2666.57	0
t_n268_TG-EUKARYA-ARCH	2265.605	2038.96	2507.11	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1345.886	1229.54	1489.2	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1219.079	1103.49	1357.19	0
t_n271	1002.177	895.46	1130.71	0
t_n272_FUNGI	683.59	571.37	806.88	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	508.905	405.91	623.19	0
t_n274_METAZOA	604.772	592.63	610.81	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	566.982	561.28	579.87	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	442.472	381.39	495.71	0
t_n277	460.579	335.5	599.73	0
t_n278	1313.283	1198.78	1455.06	0
t_n279	1261.002	1153.4	1397.06	0
t_n280_ARCHAEPLASTIDA	1126.952	1039.47	1246	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1080.729	982.33	1203.53	0
t_n282	846.356	764.1	946.83	0
t_n283_EMBRYOPHYTA	446.53	431	484.37	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	249.538	234.8	267.72	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	741.378	653.33	842.64	0
t_n286	244.089	184.88	312.91	0
t_n287	892.759	797.77	1006.26	0
t_n288	756.057	630.07	886.91	0
t_n289	1082.629	966.7	1216.75	0
t_n290	1019.597	888.7	1162.36	0
t_n291	642.844	520.72	769.64	0
t_n292_CG-FORAMINIFERA	578.451	524.62	684.5	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n293	510.767	364.01	674.54	0
t_n294	2088.103	1854.39	2334.6	0
t_n295	1759.408	1429.13	2061.5	0
t_n296	2299.579	2049.01	2558.31	0
t_n297	2166.078	1914.64	2426.58	0
t_n298	755.63	407.59	1158.57	0
t_n299	304.982	143.5	544.26	0
t_n300	3171.362	2884.29	3431.76	0
t_n301	3047.842	2712.95	3342.89	0
t_n302	2490.508	1967.66	2917.19	0
t_n303	2312.21	1651.13	2826.07	0
t_n304	3339.32	3223.59	3473.78	0
t_n305	3295.556	3185.91	3426.96	0
t_n306	3120.683	2931.38	3290.04	0
t_n307	3159.24	3066.16	3281.06	0
t_n308_TG-OXYPHOTOBACTERIA	2984.914	2946.08	3083.31	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n309_CG-OXYPHOTOBACTERIA	2277.414	2037.57	2510.9	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n310	1921.469	1686.47	2177.4	0
t_n311	1807.842	1581.39	2063.77	0
t_n312_ARCHAEPLASTIDA-DUP1	1126.952	1039.47	1246	[#6]
t_n313	846.356	764.1	946.83	0
t_n314_EMBRYOPHYTA-DUP1	446.53	431	484.37	[#5]
t_n315_EUDICOT-MONOCOT-DUP1	249.538	234.8	267.72	[#4]
t_n316	741.378	653.33	842.64	0
t_n317	244.089	184.88	312.91	0
t_n318	892.759	797.77	1006.26	0
t_n319	745.558	599.33	895.06	0
t_n320	642.844	520.72	769.64	0
t_n321	759.669	580.04	915.51	0
t_n322	1433.241	1163.73	1714.96	0
t_n323	1159.857	890.82	1444.99	0
t_n324	687.01	461.1	949.37	0
t_n325	1171.084	815.03	1508.49	0
t_n326	885.414	391.98	1501.2	0
t_n327	3310.93	3183.74	3450.9	0
t_n328	2121.372	1759.18	2526.15	0
t_n329_TG-EUKARYA-MITO	1489.023	1316.79	1706.49	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n330	1219.079	1103.49	1357.19	0
t_n331	1002.177	895.46	1130.71	0
t_n332_FUNGI-DUP1	683.59	571.37	806.88	[#2]
t_n333_METAZOA	604.772	592.63	610.81	[#13]
t_n334_EUMETAZOA-DUP1	566.982	561.28	579.87	[#3]
t_n335	442.472	381.39	495.71	0
t_n336	460.579	335.5	599.73	0
t_n337	1270.746	1147.79	1425.42	0
t_n338_ARCHAEPLASTIDA-DUP2	1126.952	1039.47	1246	[#6]
t_n339	846.356	764.1	946.83	0
t_n340_EMBRYOPHYTA-DUP2	446.53	431	484.37	[#5]
t_n341_EUDICOT-MONOCOT-DUP2	249.538	234.8	267.72	[#4]
t_n342	741.378	653.33	842.64	0
t_n343	244.089	184.88	312.91	0
t_n344	892.759	797.77	1006.26	0
t_n345	793.837	495.08	1065.08	0
t_n346	1868.762	1492.43	2285.98	0
t_n347	1541.324	1177.27	1950.18	0
t_n348	1323.178	991.37	1702.79	0
t_n349	1103.819	793.45	1468.24	0
t_n350	3215.555	3062.54	3370.36	0
t_n351	3069.66	2846.15	3263.25	0
t_n352	2764.877	2490	3000.72	0
t_n353	2519.577	2205.59	2791.58	0
t_n354	2186.142	1825.74	2502.22	0
t_n355	1576.635	1115.5	2006.08	0
t_n356	2160.439	1787.55	2487.51	0
t_n357	2035.901	1657.12	2374.43	0
t_n358	1456.562	967.98	1903.91	0
t_n359	1616.572	1207.22	2001.58	0
t_n360	1418.063	1006.79	1822.17	0
t_n361	1383.559	986.48	1779.3	0
t_n362	1038.938	678.4	1430.45	0
t_n363	754.24	437.1	1135.34	0
t_n364	1813.169	1366.3	2209.69	0
t_n365	2529.244	2185.4	2822.6	0
t_n366	2392.225	2027.95	2710.48	0
t_n367	1831.882	1437.35	2194.12	0
t_n368_LUCA-DUP	4285.106	4184.61	4363.36	[#1]
t_n369	3339.32	3223.59	3473.78	0
t_n370	3310.93	3183.74	3450.9	0
t_n371	3215.555	3062.54	3370.36	0
t_n372	3021.473	2779.08	3227.65	0
t_n373	2892.436	2630.34	3117.74	0
t_n374	2662.144	2362.45	2924.81	0
t_n375	2367.931	2013.12	2681.82	0
t_n376	2216.686	1852.95	2542.12	0
t_n377	1881.626	1416.55	2287.67	0
t_n378	1831.882	1437.35	2194.12	0
t_n379	2186.142	1825.74	2502.22	0
t_n380	1576.635	1115.5	2006.08	0
t_n381	2479.729	2020.08	2829.61	0
t_n382	2101.863	1562.35	2538.15	0
t_n383	1675.001	1083.17	2215.62	0
t_n384	2764.817	2402.21	3047.12	0
t_n385	2345.292	1843.3	2735.56	0
t_n386	1623.823	1032.4	2164.57	0
t_n387	1021.259	527.31	1595.07	0
t_n388	2582.692	1986.62	2960.36	0
t_n389	2102.124	1329.1	2688.22	0
t_n390	2121.372	1759.18	2526.15	0
t_n391_TG-EUKARYA-MITO-DUP	1489.023	1316.79	1706.49	[#8]
t_n392	1359.354	1222.87	1528.79	0
t_n393	1219.079	1103.49	1357.19	0
t_n394	1002.177	895.46	1130.71	0
t_n395_FUNGI-DUP2	683.59	571.37	806.88	[#2]
t_n396	508.905	405.91	623.19	0
t_n397_METAZOA	604.772	592.63	610.81	[#13]
t_n398_EUMETAZOA-DUP2	566.982	561.28	579.87	[#3]
t_n399	442.472	381.39	495.71	0
t_n400	460.579	335.5	599.73	0
t_n401	1270.746	1147.79	1425.42	0
t_n402_ARCHAEPLASTIDA-DUP3	1126.952	1039.47	1246	[#6]
t_n403	846.356	764.1	946.83	0
t_n404_EMBRYOPHYTA-DUP3	446.53	431	484.37	[#5]
t_n405_EUDICOT-MONOCOT-DUP3	249.538	234.8	267.72	[#4]
t_n406	741.378	653.33	842.64	0
t_n407	244.089	184.88	312.91	0
t_n408	892.759	797.77	1006.26	0
t_n409	741.059	600.28	876.5	0
t_n410	642.844	520.72	769.64	0
t_n411	1208.337	1003.74	1432.43	0
t_n412	510.767	364.01	674.54	0
t_n413_CG-FORAMINIFERA-DUP1	578.451	524.62	684.5	[#11]
t_n414	1737.192	1368.96	2150.46	0
t_n415	1541.324	1177.27	1950.18	0
t_n416	1323.178	991.37	1702.79	0
t_n417	1103.819	793.45	1468.24	0
t_n418	3295.556	3185.91	3426.96	0
t_n419	3120.683	2931.38	3290.04	0
t_n420	2213.438	1411.73	2740.14	0
t_n421	3159.24	3066.16	3281.06	0
t_n422_TG-OXYPHOTOBACTERIA-DUP	2984.914	2946.08	3083.31	[#10]
t_n423_CG-OXYPHOTOBACTERIA-DUP	2277.414	2037.57	2510.9	[#9]
t_n424	1921.469	1686.47	2177.4	0
t_n425	1807.842	1581.39	2063.77	0
t_n426_ARCHAEPLASTIDA-DUP4	1126.952	1039.47	1246	[#6]
t_n427	846.356	764.1	946.83	0
t_n428	741.378	653.33	842.64	0
t_n429	244.089	184.88	312.91	0
t_n430_EMBRYOPHYTA-DUP4	446.53	431	484.37	[#5]
t_n431	892.759	797.77	1006.26	0
t_n432	836.03	711.31	961.42	0
t_n433	663.184	495.13	821.77	0
t_n434	1433.241	1163.73	1714.96	0
t_n435	1159.857	890.82	1444.99	0
t_n436	687.01	461.1	949.37	0
t_n437	885.414	391.98	1501.2	0
t_n438	3335.661	3085.52	3562.95	0
t_n439	3259.715	3007.84	3492.66	0
t_n440	2808.564	2403.48	3140.11	0
t_n441	2497.609	2011.41	2903.27	0
t_n442	3015.473	2758.4	3262.72	0
t_n443	2630.637	2381.44	2884.27	0
t_n444	2485.877	2232.92	2744.8	0
t_n445	2416.499	2162.16	2677.4	0
t_n446	2218.441	1954.06	2489.65	0
t_n447	1726.649	1415.2	2033.42	0
t_n448	1533.854	1184.1	1872.59	0
t_n449	1363.157	1019.31	1708.11	0
t_n450	1850.688	1547.18	2151.92	0
t_n451	892.322	557.26	1261.74	0
t_n452	1772.442	1392.43	2119.13	0
t_n453	525.48	285.2	837.75	0
t_n454	287.382	144.32	495.9	0
t_n455	2419.063	2182.14	2666.57	0
t_n456_TG-EUKARYA-ARCH-DUP	2265.605	2038.96	2507.11	[#7]
t_n457_LECA-DUP	1345.886	1229.54	1489.2	[#12]
t_n458	1219.079	1103.49	1357.19	0
t_n459	1002.177	895.46	1130.71	0
t_n460_FUNGI-DUP	683.59	571.37	806.88	[#2]
t_n461	508.905	405.91	623.19	0
t_n462_METAZOA	604.772	592.63	610.81	[#13]
t_n463_EUMETAZOA-DUP3	566.982	561.28	579.87	[#3]
t_n464	442.472	381.39	495.71	0
t_n465	460.579	335.5	599.73	0
t_n466	1313.283	1198.78	1455.06	0
t_n467	1261.002	1153.4	1397.06	0
t_n468_ARCHAEPLASTIDA-DUP5	1126.952	1039.47	1246	[#6]
t_n469	1080.729	982.33	1203.53	0
t_n470	846.356	764.1	946.83	0
t_n471_EMBRYOPHYTA-DUP5	446.53	431	484.37	[#5]
t_n472_EUDICOT-MONOCOT-DUP4	249.538	234.8	267.72	[#4]
t_n473	741.378	653.33	842.64	0
t_n474	244.089	184.88	312.91	0
t_n475	892.759	797.77	1006.26	0
t_n476	756.057	630.07	886.91	0
t_n477	1082.629	966.7	1216.75	0
t_n478	1019.597	888.7	1162.36	0
t_n479	642.844	520.72	769.64	0
t_n480_CG-FORAMINIFERA-DUP2	578.451	524.62	684.5	[#11]
t_n481	510.767	364.01	674.54	0
t_n482	2088.103	1854.39	2334.6	0
t_n483	1759.408	1429.13	2061.5	0
t_n484	2299.579	2049.01	2558.31	0
t_n485	2166.078	1914.64	2426.58	0
t_n486	755.63	407.59	1158.57	0
t_n487	304.982	143.5	544.26	0
t_n488	3171.362	2884.29	3431.76	0
t_n489	3127.611	2830.58	3397.37	0
t_n490	2490.508	1967.66	2917.19	0
t_n491	2312.21	1651.13	2826.07	0
