Calib;node;Prior
ROOT;245;'U(4.520,1e-300)'
LUCA;246;'[#1 B{3.3470,4.5200,1e-300,1e-300}]'
LUCA-DUP;365;'[#1]'
LECA;267;'[#12 B{1.0856,1.8796,0.0250,0.0250}]'
LECA-DUP;454;'[#12]'
TG-OXYPHOTOBACTERIA;305;'[#10 B{2.945,4.5200,1e-300,1e-300}]'
TG-OXYPHOTOBACTERIA-DUP;419;'[#10]'
CG-OXYPHOTOBACTERIA;306;'[#9 B{2.0136,3.4480,0.0250,0.0250}]'
CG-OXYPHOTOBACTERIA-DUP;420;'[#9]'
TG-EUKARYA-ARCH;266;'[#7 B{1.6191,3.4480,1e-300,1e-300}]'
TG-EUKARYA-ARCH-DUP;453;'[#7]'
TG-EUKARYA-MITO;326;'[#8 B{1.0856,4.5200,0.0250,1e-300}]'
TG-EUKARYA-MITO-DUP;388;'[#8]'
ARCHAEPLASTIDA;278;'[#6 B{1.0300,1.8796,1e-300,1e-300}]'
ARCHAEPLASTIDA-DUP1;309;'[#6]'
ARCHAEPLASTIDA-DUP2;335;'[#6]'
ARCHAEPLASTIDA-DUP3;399;'[#6]'
ARCHAEPLASTIDA-DUP4;423;'[#6]'
ARCHAEPLASTIDA-DUP5;465;'[#6]'
EMBRYOPHYTA;281;'[#5 B{0.4305,0.5155,1e-300,0.0250}]'
EMBRYOPHYTA-DUP1;311;'[#5]'
EMBRYOPHYTA-DUP2;337;'[#5]'
EMBRYOPHYTA-DUP3;401;'[#5]'
EMBRYOPHYTA-DUP4;427;'[#5]'
EMBRYOPHYTA-DUP5;468;'[#5]'
EUDICOT-MONOCOT;282;'[#4 B{0.1250,0.2472,1e-300,0.0250}]'
EUDICOT-MONOCOT-DUP1;312;'[#4]'
EUDICOT-MONOCOT-DUP2;338;'[#4]'
EUDICOT-MONOCOT-DUP3;402;'[#4]'
EUDICOT-MONOCOT-DUP4;469;'[#4]'
CG-FORAMINIFERA;290;'[#11 B{0.5225,1.8910,1e-300,1e-300}]'
CG-FORAMINIFERA-DUP1;410;'[#11]'
CG-FORAMINIFERA-DUP2;477;'[#11]'
FUNGI;270;'[#2 B{0.3921,1.8910,1e-300,0.0250}]'
FUNGI-DUP1;329;'[#2]'
FUNGI-DUP2;392;'[#2]'
FUNGI-DUP;457;'[#2]'
EUMETAZOA;273;'[#3 B{0.5611,0.5908,1e-300,0.0250}]'
EUMETAZOA-DUP1;331;'[#3]'
EUMETAZOA-DUP2;395;'[#3]'
EUMETAZOA-DUP3;460;'[#3]'
METAZOA;272;'[#13 B{0.5740,0.6090,1e-300,0.0250}]'
METAZOA;330;'[#13]'
METAZOA;394;'[#13]'
METAZOA;459;'[#13]'
