Mean_time	Mean_qlow	Mean_qup	Priors
t_n245_ROOT	4472.707	4347.18	4518.86	U(4.520,1e-300)
t_n246_LUCA	4425.295	4261.96	4508.43	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n247	4289.61	3927.52	4476.18	0
t_n248	4128.775	3634.17	4419.96	0
t_n249	2754.369	654.37	4174.77	0
t_n250	1375.973	53.51	3487.36	0
t_n251	3954.607	3369.41	4341.95	0
t_n252	3780.886	3137.79	4246.38	0
t_n253	3528.191	2733.45	4114.91	0
t_n254	3276.665	2394.03	3966.4	0
t_n255	2455.535	922.86	3628.26	0
t_n256	1638.329	299.21	3130.41	0
t_n257	818.157	26.41	2381.99	0
t_n258	2950.606	1943.76	3773.29	0
t_n259	2529.532	1393.34	3518.31	0
t_n260	1899.547	643.72	3119.55	0
t_n261	1266.61	215.44	2621.36	0
t_n262	634.065	20.31	1917.49	0
t_n263	1964.993	438.26	3329.51	0
t_n264	983.756	34.89	2608.85	0
t_n265	3332.046	2408.43	4036.81	0
t_n266_TG-EUKARYA-ARCH	2653.56	1884.71	3393.89	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n267_LECA	1830.458	1635.31	1942.26	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n268	1556.085	993.1	1870.41	0
t_n269	1230.43	668.42	1748.33	0
t_n270_FUNGI	886.495	422.73	1530.54	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n271	442.151	20.05	1168.27	0
t_n272_METAZOA	593.948	575.71	609.1	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n273_EUMETAZOA	574.883	561.77	590.35	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n274	287.574	14.38	560.35	0
t_n275	781.06	38.29	1655.37	0
t_n276	1735.195	1464.27	1897.7	0
t_n277	1636.485	1321.67	1850.39	0
t_n278_ARCHAEPLASTIDA	1507.255	1150.8	1782.64	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n279	1234.901	705.6	1663.44	0
t_n280	964.107	513.7	1494.59	0
t_n281_EMBRYOPHYTA	473.65	432.69	515.43	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n282_EUDICOT-MONOCOT	187.735	128.09	247.24	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n283	641.773	134.28	1262.92	0
t_n284	322.03	11.32	939.51	0
t_n285	1330.588	873.12	1693.57	0
t_n286	665.299	32.23	1433.41	0
t_n287	1339.036	787.16	1744.79	0
t_n288	832.976	167.42	1519.2	0
t_n289	324.259	10.69	944.09	0
t_n290_CG-FORAMINIFERA	914.914	538.7	1502.87	[#11 B{0.5225,1.8910,1e-300,1e-300}]
t_n291	815.316	39.26	1707.62	0
t_n292	1771.888	409.54	3046.83	0
t_n293	886.755	32.34	2374.81	0
t_n294	2499.225	939.36	3692.26	0
t_n295	1665.402	301.85	3197.51	0
t_n296	835.979	27.74	2417.29	0
t_n297	3575.89	2044.53	4355.48	0
t_n298	2502.264	782.78	4001.68	0
t_n299	1070.863	42.13	2862.84	0
t_n300	1071.275	43.45	2852.11	0
t_n301	4354.524	4127.38	4485.55	0
t_n302	4078.615	3503.69	4416.49	0
t_n303	2717.065	631.45	4158.78	0
t_n304	3768.839	3165.75	4283.46	0
t_n305_TG-OXYPHOTOBACTERIA	3434.437	2976.72	4040.11	[#10 B{2.945,4.5200,1e-300,1e-300}]
t_n306_CG-OXYPHOTOBACTERIA	2986.169	2238.54	3459.46	[#9 B{2.0136,3.4480,0.0250,0.0250}]
t_n307	2622.887	1815.41	3311.97	0
t_n308	2258.64	1518.16	3084.42	0
t_n309_ARCHAEPLASTIDA-DUP1	1507.255	1150.8	1782.64	[#6]
t_n310	964.107	513.7	1494.59	0
t_n311_EMBRYOPHYTA-DUP1	473.65	432.69	515.43	[#5]
t_n312_EUDICOT-MONOCOT-DUP1	187.735	128.09	247.24	[#4]
t_n313	641.773	134.28	1262.92	0
t_n314	322.03	11.32	939.51	0
t_n315	1330.588	873.12	1693.57	0
t_n316	827.633	167.31	1470.3	0
t_n317	324.259	10.69	944.09	0
t_n318	664.834	31.96	1435.82	0
t_n319	1805.944	815.14	2791.34	0
t_n320	1204.399	241.22	2350.85	0
t_n321	602.694	20.71	1739.67	0
t_n322	903.499	41.16	2186.37	0
t_n323	1888.35	94.2	3807.53	0
t_n324	4264.049	3959.06	4449.99	0
t_n325	3961.118	3216.35	4367.01	0
t_n326_TG-EUKARYA-MITO	3482.249	2432.92	4202.66	[#8 B{1.0856,4.5200,0.0250,1e-300}]
t_n327	1556.085	993.1	1870.41	0
t_n328	1230.43	668.42	1748.33	0
t_n329_FUNGI-DUP1	886.495	422.73	1530.54	[#2]
t_n330_METAZOA	593.948	575.71	609.1	[#13]
t_n331_EUMETAZOA-DUP1	574.883	561.77	590.35	[#3]
t_n332	287.574	14.38	560.35	0
t_n333	781.06	38.29	1655.37	0
t_n334	2275.189	1445.72	3457.95	0
t_n335_ARCHAEPLASTIDA-DUP2	1507.255	1150.8	1782.64	[#6]
t_n336	964.107	513.7	1494.59	0
t_n337_EMBRYOPHYTA-DUP2	473.65	432.69	515.43	[#5]
t_n338_EUDICOT-MONOCOT-DUP2	187.735	128.09	247.24	[#4]
t_n339	641.773	134.28	1262.92	0
t_n340	322.03	11.32	939.51	0
t_n341	1330.588	873.12	1693.57	0
t_n342	1137.286	51.79	2703.75	0
t_n343	2971.955	1302.22	4113.58	0
t_n344	1320.741	59.13	3169.92	0
t_n345	1760.069	341.74	3353.64	0
t_n346	880.709	29.96	2539.26	0
t_n347	4139.618	3732	4398.34	0
t_n348	3888.058	3204.22	4305.49	0
t_n349	3636.569	2831.51	4189.2	0
t_n350	3331.565	2409.7	4029.47	0
t_n351	1939.507	429.7	3303.24	0
t_n352	969.746	34.64	2593.14	0
t_n353	2998.918	1957.18	3836.38	0
t_n354	2623.811	1509.53	3592.78	0
t_n355	1309.99	59.89	2956.4	0
t_n356	2187.135	1032.23	3291.27	0
t_n357	1092.989	49.67	2621.97	0
t_n358	1641.498	513.07	2886.08	0
t_n359	1095.265	175.43	2382.37	0
t_n360	546.936	16.76	1715.41	0
t_n361	1501.021	72.88	3238.87	0
t_n362	2638.897	950.64	3865.84	0
t_n363	1642.388	284.74	3282.38	0
t_n364	641.889	21.69	1897.13	0
t_n365_LUCA-DUP	4425.295	4261.96	4508.43	[#1]
t_n366	4354.524	4127.38	4485.55	0
