Mean_time	Mean_qlow	Mean_qup	Priors
t_n247_ROOT	4491.941	4418.81	4519.26	U(4.520,1e-300)
t_n248_LUCA	4260.907	4156.81	4343.33	[#1 B{3.3470,4.5200,1e-300,1e-300}]
t_n249	3272.126	3021.31	3502.36	0
t_n250	3219.325	2966.74	3454.41	0
t_n251	2830.501	2470.74	3140.99	0
t_n252	2658.85	2255.64	3005	0
t_n253	2987.685	2731.41	3234.83	0
t_n254	2593.454	2348.09	2843.66	0
t_n255	2460.413	2215.96	2711.94	0
t_n256	2386.613	2141.37	2639.17	0
t_n257	1927.29	1610.29	2227	0
t_n258	574.414	317.91	897.12	0
t_n259	332.218	168.85	562.63	0
t_n260	2155.931	1899.18	2418.87	0
t_n261	1725.467	1433.38	2015.74	0
t_n262	1521.262	1202.78	1834.7	0
t_n263	1107.274	772.73	1449.06	0
t_n264	816.493	503.39	1167.86	0
t_n265	1838.629	1551.34	2126.04	0
t_n266	813.036	497.03	1167.1	0
t_n267	2390.352	2157.02	2633.91	0
t_n268_TG-EUKARYA-ARCH	2289.32	2063.92	2527.73	[#7 B{1.6191,3.4480,1e-300,1e-300}]
t_n269_LECA	1313.442	1207.18	1444.33	[#12 B{1.0856,1.8796,0.0250,0.0250}]
t_n270	1166.842	1063.13	1293.1	0
t_n271	1041.167	942.78	1159.78	0
t_n272_FUNGI	697.615	591.21	813.93	[#2 B{0.3921,1.8910,1e-300,0.0250}]
t_n273	509.662	409.98	620.18	0
t_n274_METAZOA	606.431	597.42	611.42	[#13 B{0.5740,0.6090,1e-300,0.0250}]
t_n275_EUMETAZOA	565.197	561.22	574.78	[#3 B{0.5611,0.5908,1e-300,0.0250}]
t_n276	440.939	393.65	482.22	0
t_n277	393.302	286.23	513.02	0
t_n278	1282.909	1179.56	1411.14	0
t_n279	1250.042	1151.06	1373.54	0
t_n280_ARCHAEPLASTIDA	1128.214	1042.22	1239.63	[#6 B{1.0300,1.8796,1e-300,1e-300}]
t_n281	1039.512	948.6	1151.58	0
t_n282	821.832	750.01	909.24	0
t_n283_EMBRYOPHYTA	443.666	430.91	475.38	[#5 B{0.4305,0.5155,1e-300,0.0250}]
t_n284_EUDICOT-MONOCOT	250.2	236.14	268.57	[#4 B{0.1250,0.2472,1e-300,0.0250}]
t_n285	740.786	667.47	826.44	0
t_n286	208.342	160.08	264.45	0
t_n287	920.133	834.74	1023.21	0
t_n288	781.361	673.76	894.15	0
t_n289	1074.27	972.74	1194.48	0
