mean_t	2.5%q	97.5%q
t_n248|LUCA_main-conc	4180.639	4026.54	4311.36
t_n368|LUCA-dup_main-conc	4180.639	4026.54	4311.36
t_n248|LUCA_ATP	4359.399	4204.4	4472.52
t_n368|LUCA-dup_ATP	4359.399	4204.4	4472.52
t_n248|LUCA_EF	4238.878	4012.84	4402.47
t_n368|LUCA-dup_EF	4238.878	4012.84	4402.47
t_n248|LUCA_Leu	4286.636	4099.99	4419.04
t_n368|LUCA-dup_Leu	4286.636	4099.99	4419.04
t_n248|LUCA_SRP	4225.882	4034.98	4377.38
t_n368|LUCA-dup_SRP	4225.882	4034.98	4377.38
t_n248|LUCA_Tyr	4382.392	4196.82	4495.38
t_n368|LUCA-dup_Tyr	4382.392	4196.82	4495.38
t_n243|LUCA_noATP	4153.652	3969.63	4307.44
t_n359|LUCA-dup_noATP	4153.652	3969.63	4307.44
t_n238|LUCA_noEF	4220.534	4076.59	4340.1
t_n351|LUCA-dup_noEF	4220.534	4076.59	4340.1
t_n245|LUCA_noLeu	4190.176	4030.1	4324.71
t_n364|LUCA-dup_noLeu	4190.176	4030.1	4324.71
t_n248|LUCA_noSRP	4195.132	4036.77	4327.81
t_n368|LUCA-dup_noSRP	4195.132	4036.77	4327.81
t_n246|LUCA_noTyr	4182.599	4024.56	4316.6
t_n365|LUCA-dup_noTyr	4182.599	4024.56	4316.6
t_n248|LUCA_main-bsinbv	4180.934	4021.43	4316.26
t_n368|LUCA-dup_main-bsinbv	4180.934	4021.43	4316.26
