label-conc_cb	mean_t-conc_cb	2.5%q-conc_cb	97.5%q-conc_cb	label-indATP	mean_t-indATP	2.5%q-indATP	97.5%q-indATP	label-indEF	mean_t-indEF	2.5%q-indEF	97.5%q-indEF	label-indLeu	mean_t-indLeu	2.5%q-indLeu	97.5%q-indLeu	label-indSRP	mean_t-indSRP	2.5%q-indSRP	97.5%q-indSRP	label-indTyr	mean_t-indTyr	2.5%q-indTyr	97.5%q-indTyr	label-noATP	mean_t-noATP	2.5%q-noATP	97.5%q-noATP	label-noEF	mean_t-noEF	2.5%q-noEF	97.5%q-noEF	label-noLeu	mean_t-noLeu	2.5%q-noLeu	97.5%q-noLeu	label-noSRP	mean_t-noSRP	2.5%q-noSRP	97.5%q-noSRP	label-noTyr	mean_t-noTyr	2.5%q-noTyr	97.5%q-noTyr	label-bsinBV	mean_t-bsinBV	2.5%q-bsinBV	97.5%q-bsinBV
t_n247_ROOT	4491.033	4415.09	4519.26	t_n247_ROOT	4489.636	4409.42	4519.21	t_n247_ROOT	4474.633	4355.44	4518.82	t_n247_ROOT	4470.616	4342.81	4518.72	t_n247_ROOT	4478.316	4368.68	4518.92	t_n247_ROOT	4477.791	4366.66	4518.91	t_n242_ROOT	4480.942	4379.79	4518.98	t_n237_ROOT	4491.162	4415.07	4519.25	t_n244_ROOT	4491.964	4418.46	4519.28	t_n247_ROOT	4490.481	4413.01	4519.24	t_n245_ROOT	4490.376	4412.56	4519.24	t_n247_ROOT	4490.925	4414.73	4519.24
t_n248_LUCA	4180.639	4026.54	4311.36	t_n248_LUCA	4359.399	4204.4	4472.52	t_n248_LUCA	4238.878	4012.84	4402.47	t_n248_LUCA	4286.636	4099.99	4419.04	t_n248_LUCA	4225.882	4034.98	4377.38	t_n248_LUCA	4382.392	4196.82	4495.38	t_n243_LUCA	4153.652	3969.63	4307.44	t_n238_LUCA	4220.534	4076.59	4340.1	t_n245_LUCA	4190.176	4030.1	4324.71	t_n248_LUCA	4195.132	4036.77	4327.81	t_n246_LUCA	4182.599	4024.56	4316.6	t_n248_LUCA	4180.934	4021.43	4316.26
t_n268_TG-EUKARYA-ARCH	2504.374	2256.1	2758.11	t_n268_TG-EUKARYA-ARCH	2697.576	2343.02	3058.17	t_n268_TG-EUKARYA-ARCH	2803.1	2270.55	3318.98	t_n268_TG-EUKARYA-ARCH	2683.119	2308.85	3080.62	t_n268_TG-EUKARYA-ARCH	2944.971	2597.01	3295.33	t_n268_TG-EUKARYA-ARCH	2695.644	2175.78	3259.93	t_n263_TG-EUKARYA-ARCH	2558.43	2282.71	2842.66	t_n258_TG-EUKARYA-ARCH	2565.395	2315.98	2819.44	t_n265_TG-EUKARYA-ARCH	2504.4	2233.84	2782.43	t_n268_TG-EUKARYA-ARCH	2508.559	2243.94	2779.46	t_n266_TG-EUKARYA-ARCH	2590.375	2335.08	2850.34	t_n268_TG-EUKARYA-ARCH	2522.788	2264.24	2788.22
t_n269_LECA	1699.09	1535.69	1861.16	t_n269_LECA	1764.058	1548.29	1903.39	t_n269_LECA	1821.275	1626.22	1933.6	t_n269_LECA	1857.084	1725.89	1955.07	t_n269_LECA	1828.494	1669.22	1929.78	t_n269_LECA	1823.718	1632.41	1934.42	t_n264_LECA	1741.868	1565.17	1885.46	t_n259_LECA	1725.549	1559.96	1876.13	t_n266_LECA	1714.795	1530.18	1877.58	t_n269_LECA	1684.551	1507.72	1859.69	t_n267_LECA	1756.891	1590.56	1888.56	t_n269_LECA	1680.677	1512.1	1853.13
t_n272_FUNGI	913.297	737.25	1100.93	t_n272_FUNGI	858.59	602.52	1144.44	t_n272_FUNGI	886.934	467.06	1384.14	t_n272_FUNGI	877.201	560.87	1223.07	t_n272_FUNGI	963.864	643.4	1312.34	t_n272_FUNGI	900.5	447.11	1441.48	t_n267_FUNGI	915.612	710.06	1137.09	t_n262_FUNGI	963.018	780.33	1156.02	t_n269_FUNGI	860.756	662.09	1075.95	t_n272_FUNGI	886.018	698.85	1087.79	t_n270_FUNGI	924.789	739.29	1122.45	t_n272_FUNGI	900.942	721.45	1093.26
t_n274_METAZOA	605.04	593.53	610.89	t_n274_METAZOA	596.895	577.23	609.52	t_n274_METAZOA	595.877	576.55	609.4	t_n274_METAZOA	599.088	579.47	609.81	t_n274_METAZOA	596.718	577	609.52	t_n274_METAZOA	594.482	575.89	609.21	t_n269_METAZOA	604.135	590.62	610.68	t_n264_METAZOA	603.608	589.68	610.54	t_n271_METAZOA	603.248	588.63	610.46	t_n274_METAZOA	604.348	591.58	610.71	t_n272_METAZOA	604.574	592.19	610.77	t_n274_METAZOA	605.032	593.65	610.87
t_n275_EUMETAZOA	566.837	561.28	579.27	t_n275_EUMETAZOA	572.863	561.57	589.57	t_n275_EUMETAZOA	574.084	561.68	590.15	t_n275_EUMETAZOA	572.358	561.52	589.24	t_n275_EUMETAZOA	573.517	561.61	589.91	t_n275_EUMETAZOA	574.493	561.72	590.21	t_n270_EUMETAZOA	568.298	561.32	583.31	t_n265_EUMETAZOA	568.282	561.33	582.96	t_n272_EUMETAZOA	568.251	561.32	583.12	t_n275_EUMETAZOA	567.586	561.3	581.35	t_n273_EUMETAZOA	567.376	561.29	580.71	t_n275_EUMETAZOA	566.665	561.27	578.68
t_n280_ARCHAEPLASTIDA	1357.072	1221.6	1498.27	t_n280_ARCHAEPLASTIDA	1327.832	1132.05	1530.76	t_n280_ARCHAEPLASTIDA	1465.003	1173.79	1721.69	t_n280_ARCHAEPLASTIDA	1531.806	1326.71	1720.02	t_n280_ARCHAEPLASTIDA	1594.521	1388.74	1772.29	t_n280_ARCHAEPLASTIDA	1493.675	1200.2	1742.81	t_n275_ARCHAEPLASTIDA	1430.107	1272.28	1588.01	t_n270_ARCHAEPLASTIDA	1376.805	1240.28	1517.3	t_n277_ARCHAEPLASTIDA	1317.576	1164.14	1477.06	t_n280_ARCHAEPLASTIDA	1319.104	1175.78	1469.39	t_n278_ARCHAEPLASTIDA	1403.504	1261.69	1546.42	t_n280_ARCHAEPLASTIDA	1363.407	1223.04	1510.09
t_n283_EMBRYOPHYTA	475.019	433.47	515.22	t_n283_EMBRYOPHYTA	468.015	432.1	514.03	t_n283_EMBRYOPHYTA	472.699	432.56	515.22	t_n283_EMBRYOPHYTA	477.036	433.35	515.88	t_n283_EMBRYOPHYTA	478.153	433.56	516.01	t_n283_EMBRYOPHYTA	472.823	432.56	515.25	t_n278_EMBRYOPHYTA	480.256	434.5	516.11	t_n273_EMBRYOPHYTA	478.883	434.27	515.86	t_n279_EMBRYOPHYTA	469.826	432.43	514.32	t_n283_EMBRYOPHYTA	471.349	432.68	514.54	t_n281_EMBRYOPHYTA	475.881	433.52	515.37	t_n283_EMBRYOPHYTA	466.801	432.15	513.13
t_n284_EUDICOT-MONOCOT	239.882	212.33	256.18	t_n284_EUDICOT-MONOCOT	188.662	129.68	246.36	t_n284_EUDICOT-MONOCOT	214.255	144.42	250.44	t_n284_EUDICOT-MONOCOT	211.498	143.32	249.81	t_n284_EUDICOT-MONOCOT	187.689	128.13	247.17	t_n284_EUDICOT-MONOCOT	196.255	130.21	248.23	t_n279_EUDICOT-MONOCOT	240.653	213.7	256.86	t_n274_EUDICOT-MONOCOT	222.748	171.17	250.89	t_n280_EUDICOT-MONOCOT	236.191	201.23	254.65	t_n284_EUDICOT-MONOCOT	238.817	209.49	255.63	t_n282_EUDICOT-MONOCOT	236.792	204.04	254.66	t_n284_EUDICOT-MONOCOT	239.844	212.29	256.09
